Id,Label,timeset,modularity_class,node_size,modularity_class_liver
0,0,,0,3,1
1,1,,0,2,1
9,9,,0,1,1
21,21,,0,1,1
22,22,,0,2,1
45,45,,0,1,0
49,49,,0,1,1
54,54,,0,1,1
68,68,,0,1,1
83,83,,0,2,1
87,87,,0,2,1
88,88,,0,1,1
89,89,,0,2,1
91,91,,0,2,5
93,93,,0,1,1
94,94,,0,1,5
96,96,,0,2,1
98,98,,0,1,1
99,99,,0,1,1
100,100,,0,1,1
101,101,,0,1,0
104,104,,0,1,1
106,106,,0,1,1
107,107,,0,4,1
109,109,,0,1,0
110,110,,0,1,1
117,117,,0,1,1
122,122,,0,1,1
124,124,,0,1,1
128,128,,0,1,
132,132,,0,1,0
134,134,,0,1,1
138,138,,0,1,5
142,142,,0,1,1
145,145,,0,1,1
146,146,,0,1,1
153,153,,0,1,1
155,155,,0,1,0
163,163,,0,1,0
179,179,,0,1,1
180,180,,0,2,5
185,185,,0,2,1
194,194,,0,2,1
197,197,,0,1,1
200,200,,0,1,1
217,217,,0,1,1
218,218,,0,1,5
221,221,,0,2,1
223,223,,0,1,1
225,225,,0,1,1
228,228,,0,1,0
233,233,,0,1,1
234,234,,0,1,0
248,248,,0,1,1
249,249,,0,1,0
250,250,,0,1,1
254,254,,0,2,1
259,259,,0,2,1
260,260,,0,1,1
275,275,,0,3,1
285,285,,0,1,1
289,289,,0,2,1
302,302,,0,1,0
313,313,,0,3,1
322,322,,0,1,0
336,336,,0,2,1
341,341,,0,4,1
342,342,,0,2,1
351,351,,0,1,1
379,379,,0,4,5
390,390,,0,1,1
393,393,,0,2,5
403,403,,0,1,1
413,413,,0,2,1
415,415,,0,1,1
418,418,,0,1,1
438,438,,0,1,0
439,439,,0,1,0
444,444,,0,2,1
447,447,,0,2,5
452,452,,0,1,1
476,476,,0,1,1
486,486,,0,1,5
2,2,,0,1,0
4,4,,0,1,0
3,3,,1,1,0
5,5,,1,1,0
17,17,,1,1,0
19,19,,1,3,0
24,24,,1,4,0
32,32,,1,1,0
44,44,,1,1,0
47,47,,1,1,0
52,52,,1,1,0
57,57,,1,2,5
59,59,,1,1,0
62,62,,1,1,0
67,67,,1,1,0
78,78,,1,3,0
80,80,,1,1,0
81,81,,1,1,0
82,82,,1,1,0
102,102,,1,1,0
112,112,,1,1,0
119,119,,1,1,0
133,133,,1,1,0
151,151,,1,1,0
160,160,,1,1,0
164,164,,1,1,0
171,171,,1,1,0
183,183,,1,1,0
189,189,,1,2,0
192,192,,1,2,0
196,196,,1,1,0
202,202,,1,3,1
207,207,,1,1,0
214,214,,1,1,0
216,216,,1,1,0
238,238,,1,1,0
239,239,,1,1,0
256,256,,1,1,0
264,264,,1,4,0
265,265,,1,1,0
280,280,,1,2,0
282,282,,1,2,0
293,293,,1,1,3
305,305,,1,2,0
309,309,,1,1,0
326,326,,1,1,5
331,331,,1,1,1
348,348,,1,2,0
352,352,,1,1,1
362,362,,1,1,0
366,366,,1,1,0
368,368,,1,2,0
396,396,,1,2,0
408,408,,1,1,0
419,419,,1,1,5
426,426,,1,1,5
428,428,,1,1,1
440,440,,1,2,0
441,441,,1,1,0
450,450,,1,1,5
458,458,,1,1,5
468,468,,1,2,0
488,488,,1,1,0
193,193,,1,1,0
6,6,,2,1,0
14,14,,5,4,0
46,46,,2,1,5
66,66,,2,1,5
111,111,,2,2,5
162,162,,2,2,5
203,203,,2,1,0
236,236,,2,1,0
333,333,,2,1,
7,7,,3,1,0
40,40,,3,1,0
170,170,,0,3,0
417,417,,0,1,1
10,10,,4,1,0
11,11,,4,1,0
15,15,,4,1,0
38,38,,4,1,0
169,169,,4,1,0
235,235,,1,1,0
407,407,,4,1,5
490,490,,4,1,1
12,12,,0,1,1
13,13,,0,1,1
16,16,,0,2,1
18,18,,0,1,5
26,26,,0,1,0
27,27,,0,1,3
30,30,,0,1,3
31,31,,0,4,1
36,36,,0,1,1
39,39,,0,1,3
69,69,,0,1,5
72,72,,0,1,0
73,73,,0,4,1
79,79,,0,1,5
90,90,,0,1,1
97,97,,0,1,1
108,108,,0,1,0
113,113,,0,2,4
120,120,,0,1,5
125,125,,0,1,1
131,131,,0,1,1
136,136,,0,1,1
141,141,,0,1,5
158,158,,0,1,1
176,176,,0,1,5
187,187,,0,1,5
191,191,,0,1,0
204,204,,0,1,1
206,206,,0,1,1
215,215,,0,1,1
273,273,,0,4,3
294,294,,0,1,0
297,297,,0,1,0
303,303,,0,3,1
311,311,,0,1,2
338,338,,0,3,0
353,353,,0,1,1
355,355,,0,1,
356,356,,0,2,5
371,371,,0,1,1
380,380,,0,1,5
395,395,,0,1,5
432,432,,0,1,6
448,448,,0,1,5
453,453,,0,1,5
461,461,,0,2,3
469,469,,0,1,1
482,482,,0,1,1
157,157,,0,1,1
251,251,,5,1,5
34,34,,5,1,0
70,70,,5,1,0
121,121,,1,1,0
140,140,,5,1,0
156,156,,5,4,0
168,168,,5,2,0
173,173,,5,1,0
175,175,,5,2,0
244,244,,1,2,0
246,246,,5,2,0
261,261,,5,1,5
263,263,,5,1,0
266,266,,5,1,3
376,376,,5,1,0
404,404,,5,1,0
405,405,,5,1,0
416,416,,5,1,3
425,425,,5,1,0
429,429,,5,1,5
465,465,,5,1,3
292,292,,0,1,0
42,42,,1,1,0
53,53,,1,1,0
