Id,Label,timeset,modularity_class,node_size
0,0,,0,3
1,1,,0,2
3,3,,0,1
5,5,,0,1
7,7,,1,1
8,8,,0,1
9,9,,0,1
11,11,,0,1
12,12,,0,1
13,13,,0,1
14,14,,0,4
15,15,,0,1
16,16,,0,2
17,17,,0,1
18,18,,0,1
19,19,,0,3
21,21,,0,1
22,22,,0,2
24,24,,0,4
26,26,,0,1
27,27,,0,1
30,30,,0,1
31,31,,0,4
32,32,,0,1
35,35,,0,1
36,36,,0,1
39,39,,0,1
40,40,,0,1
41,41,,0,2
42,42,,0,1
44,44,,0,1
45,45,,0,1
47,47,,0,1
49,49,,0,1
52,52,,0,1
53,53,,0,1
55,55,,0,2
57,57,,0,2
59,59,,0,1
61,61,,0,2
62,62,,0,1
64,64,,0,1
67,67,,0,1
70,70,,0,1
71,71,,0,1
72,72,,0,1
73,73,,1,4
74,74,,0,1
78,78,,0,3
79,79,,0,1
80,80,,0,1
81,81,,0,1
82,82,,0,1
84,84,,0,1
87,87,,1,2
88,88,,1,1
89,89,,0,2
90,90,,0,1
93,93,,1,1
94,94,,0,1
97,97,,1,1
99,99,,0,1
100,100,,0,1
102,102,,0,1
103,103,,0,1
106,106,,0,1
109,109,,0,1
110,110,,0,1
112,112,,0,1
113,113,,0,2
115,115,,0,2
119,119,,0,1
121,121,,0,1
123,123,,0,1
124,124,,1,1
125,125,,0,1
133,133,,0,1
135,135,,0,1
136,136,,0,1
141,141,,0,1
142,142,,0,1
145,145,,1,1
151,151,,0,1
155,155,,0,1
156,156,,0,4
160,160,,0,1
161,161,,0,1
163,163,,0,1
164,164,,0,1
167,167,,1,1
168,168,,0,2
169,169,,0,1
171,171,,0,1
173,173,,0,1
175,175,,0,2
176,176,,0,1
178,178,,0,1
179,179,,1,1
180,180,,1,2
183,183,,0,1
184,184,,0,1
187,187,,0,1
188,188,,0,2
189,189,,0,2
192,192,,0,2
193,193,,0,1
194,194,,0,2
195,195,,0,2
196,196,,0,1
197,197,,0,1
199,199,,0,1
200,200,,0,1
202,202,,0,3
206,206,,0,1
207,207,,0,1
208,208,,0,1
211,211,,0,1
214,214,,0,1
215,215,,0,1
216,216,,0,1
217,217,,1,1
218,218,,0,1
220,220,,0,1
221,221,,0,2
222,222,,0,2
223,223,,0,1
229,229,,0,2
230,230,,0,1
233,233,,0,1
234,234,,0,1
235,235,,0,1
238,238,,0,1
239,239,,0,1
240,240,,0,2
244,244,,0,2
246,246,,0,2
247,247,,0,1
248,248,,0,1
249,249,,0,1
251,251,,0,1
256,256,,0,1
258,258,,1,1
259,259,,1,2
260,260,,1,1
261,261,,0,1
263,263,,0,1
264,264,,0,4
265,265,,0,1
273,273,,0,4
274,274,,0,2
275,275,,1,3
280,280,,0,2
282,282,,0,2
286,286,,0,1
289,289,,1,2
293,293,,0,1
294,294,,0,1
295,295,,0,1
297,297,,0,1
302,302,,0,1
303,303,,0,3
305,305,,0,2
308,308,,0,2
309,309,,0,1
310,310,,0,1
311,311,,0,1
312,312,,1,1
313,313,,1,3
320,320,,0,2
323,323,,0,1
325,325,,0,1
326,326,,0,1
328,328,,0,1
331,331,,0,1
335,335,,0,1
336,336,,0,2
344,344,,0,2
345,345,,0,1
348,348,,0,2
349,349,,0,1
351,351,,1,1
352,352,,0,1
354,354,,0,2
356,356,,0,2
362,362,,0,1
367,367,,0,2
368,368,,0,2
373,373,,0,1
376,376,,0,1
379,379,,0,4
380,380,,0,1
383,383,,0,1
385,385,,0,2
387,387,,0,2
390,390,,1,1
393,393,,0,2
395,395,,1,1
396,396,,0,2
400,400,,0,1
403,403,,0,1
404,404,,0,1
405,405,,0,1
