Id,Label,timeset,modularity_class,node_size,modularity_class_Bone
0,0,,1,3,0
1,1,,1,2,0
9,9,,1,1,0
12,12,,1,1,0
13,13,,1,1,0
16,16,,1,2,0
21,21,,1,1,0
22,22,,1,2,0
31,31,,1,4,0
36,36,,1,1,0
49,49,,1,1,0
87,87,,1,2,0
88,88,,1,1,0
89,89,,1,2,0
90,90,,1,1,0
93,93,,1,1,0
96,96,,1,2,0
97,97,,1,1,0
99,99,,1,1,0
100,100,,1,1,0
104,104,,1,1,0
106,106,,1,1,0
110,110,,1,1,0
122,122,,1,1,0
124,124,,1,1,0
125,125,,1,1,0
136,136,,1,1,0
142,142,,1,1,0
145,145,,1,1,0
146,146,,1,1,0
153,153,,1,1,0
161,161,,1,1,8
179,179,,1,1,0
194,194,,1,2,0
197,197,,1,1,0
200,200,,1,1,0
204,204,,1,1,0
206,206,,1,1,0
211,211,,1,1,8
217,217,,1,1,0
221,221,,1,2,0
223,223,,1,1,0
225,225,,1,1,0
233,233,,1,1,0
248,248,,1,1,0
260,260,,1,1,0
275,275,,1,3,0
289,289,,1,2,0
313,313,,1,3,0
336,336,,1,2,0
341,341,,1,4,0
342,342,,1,2,0
390,390,,1,1,0
403,403,,1,1,0
413,413,,1,2,0
415,415,,1,1,0
418,418,,1,1,0
452,452,,1,1,0
469,469,,1,1,0
476,476,,1,1,0
481,481,,1,2,1
2,2,,0,1,0
3,3,,0,1,1
4,4,,0,1,0
5,5,,0,1,1
6,6,,0,1,2
7,7,,0,1,3
8,8,,0,1,
10,10,,0,1,4
11,11,,0,1,4
14,14,,0,4,5
15,15,,0,1,4
17,17,,0,1,1
19,19,,0,3,1
24,24,,0,4,1
26,26,,0,1,0
28,28,,0,1,1
34,34,,0,1,5
37,37,,0,1,
38,38,,0,1,4
40,40,,0,1,3
42,42,,0,1,1
44,44,,0,1,1
45,45,,0,1,0
47,47,,0,1,1
50,50,,0,1,
52,52,,0,1,1
53,53,,0,1,1
55,55,,0,2,1
57,57,,0,2,6
59,59,,0,1,1
60,60,,0,1,8
62,62,,0,1,1
65,65,,0,2,1
67,67,,0,1,1
70,70,,0,1,5
71,71,,0,1,1
72,72,,0,1,0
74,74,,0,1,15
78,78,,0,3,1
80,80,,0,1,1
81,81,,0,1,1
82,82,,0,1,1
84,84,,0,1,8
86,86,,0,2,8
92,92,,0,1,
101,101,,0,1,0
102,102,,0,1,1
103,103,,0,1,6
108,108,,0,1,0
109,109,,0,1,0
112,112,,0,1,1
116,116,,0,1,
119,119,,0,1,1
121,121,,0,1,1
126,126,,0,1,10
132,132,,0,1,0
133,133,,0,1,1
135,135,,0,1,8
143,143,,0,1,15
148,148,,0,1,
151,151,,0,1,1
155,155,,0,1,0
156,156,,0,4,5
159,159,,0,2,1
160,160,,0,1,1
163,163,,0,1,0
164,164,,0,1,1
168,168,,0,2,5
169,169,,0,1,4
170,170,,0,3,0
171,171,,0,1,1
173,173,,0,1,5
175,175,,0,2,5
183,183,,0,1,1
184,184,,0,1,1
188,188,,0,2,1
191,191,,0,1,0
192,192,,0,2,1
193,193,,0,1,1
196,196,,0,1,1
199,199,,0,1,
203,203,,0,1,2
207,207,,0,1,1
213,213,,0,1,8
214,214,,0,1,1
216,216,,0,1,1
220,220,,0,1,1
228,228,,0,1,0
229,229,,0,2,6
234,234,,0,1,0
235,235,,0,1,1
236,236,,0,1,2
238,238,,0,1,1
239,239,,0,1,1
242,242,,0,2,12
244,244,,0,2,1
246,246,,0,2,5
247,247,,0,1,
252,252,,0,1,1
256,256,,0,1,1
258,258,,0,1,8
263,263,,0,1,5
264,264,,0,4,1
265,265,,0,1,1
267,267,,0,1,8
274,274,,0,2,1
276,276,,0,1,
280,280,,0,2,1
290,290,,0,1,16
292,292,,0,1,0
294,294,,0,1,0
295,295,,0,1,1
296,296,,0,1,0
297,297,,0,1,0
302,302,,0,1,0
305,305,,0,2,1
309,309,,0,1,1
312,312,,0,1,0
314,314,,0,1,8
321,321,,0,1,1
322,322,,0,1,0
323,323,,0,1,1
325,325,,0,1,1
328,328,,0,1,5
330,330,,0,1,0
338,338,,0,3,0
344,344,,0,2,1
347,347,,0,1,8
350,350,,0,1,8
354,354,,0,2,0
362,362,,0,1,1
363,363,,0,1,16
368,368,,0,2,1
372,372,,0,1,8
373,373,,0,1,1
382,382,,0,4,9
387,387,,0,2,
396,396,,0,2,1
399,399,,0,1,1
404,404,,0,1,5
405,405,,0,1,5
408,408,,0,1,1
425,425,,0,1,5
433,433,,0,1,
434,434,,0,1,18
438,438,,0,1,0
439,439,,0,1,0
441,441,,0,1,1
451,451,,0,1,
457,457,,0,1,0
460,460,,0,1,
483,483,,0,1,8
30,30,,3,1,0
32,32,,0,1,1
115,115,,0,2,
249,249,,0,1,0
113,113,,4,2,0
366,366,,0,1,1
172,172,,0,2,
189,189,,0,2,1
374,374,,0,3,1
465,465,,3,1,5
468,468,,0,2,1
140,140,,0,1,5
