Id,Label,timeset,modularity_class,node_size,modularity_class_bone
0,0,,1,3,0
1,1,,1,2,0
2,2,,0,1,0
3,3,,0,1,1
4,4,,0,1,0
5,5,,0,1,1
6,6,,0,1,2
7,7,,0,1,3
8,8,,0,1,
9,9,,1,1,0
10,10,,0,1,4
11,11,,0,1,4
12,12,,1,1,0
13,13,,1,1,0
14,14,,0,4,5
15,15,,0,1,4
16,16,,1,2,0
17,17,,0,1,1
18,18,,5,1,0
19,19,,0,3,1
20,20,,1,1,
21,21,,1,1,0
22,22,,1,2,0
23,23,,1,1,6
24,24,,0,4,1
25,25,,5,2,
26,26,,0,1,0
27,27,,3,1,0
28,28,,0,1,1
29,29,,1,1,8
30,30,,3,1,0
31,31,,1,4,0
32,32,,0,1,1
33,33,,1,1,9
34,34,,0,1,5
35,35,,5,1,8
36,36,,1,1,0
37,37,,0,1,
38,38,,0,1,4
39,39,,3,1,0
40,40,,0,1,3
41,41,,5,2,5
42,42,,0,1,1
43,43,,5,1,6
44,44,,0,1,1
45,45,,0,1,0
46,46,,5,1,2
47,47,,0,1,1
48,48,,1,1,9
49,49,,1,1,0
50,50,,0,1,
51,51,,5,1,7
52,52,,0,1,1
53,53,,0,1,1
54,54,,1,1,0
55,55,,0,2,1
56,56,,6,1,
57,57,,0,2,6
58,58,,5,1,1
59,59,,0,1,1
60,60,,0,1,8
61,61,,0,2,1
62,62,,0,1,1
63,63,,5,1,7
64,64,,2,1,8
65,65,,0,2,1
66,66,,5,1,2
67,67,,0,1,1
68,68,,1,1,0
69,69,,5,1,0
70,70,,0,1,5
71,71,,0,1,1
72,72,,0,1,0
73,73,,1,4,0
74,74,,0,1,15
75,75,,1,1,8
76,76,,5,1,0
77,77,,5,4,8
78,78,,0,3,1
79,79,,5,1,0
80,80,,0,1,1
81,81,,0,1,1
82,82,,0,1,1
83,83,,1,2,0
84,84,,0,1,8
85,85,,5,1,6
86,86,,0,2,8
87,87,,1,2,0
88,88,,1,1,0
89,89,,1,2,0
90,90,,1,1,0
91,91,,5,2,0
92,92,,0,1,
93,93,,1,1,0
94,94,,5,1,0
95,95,,3,1,9
96,96,,1,2,0
97,97,,1,1,0
98,98,,1,1,0
99,99,,1,1,0
100,100,,1,1,0
101,101,,0,1,0
102,102,,0,1,1
103,103,,0,1,6
104,104,,1,1,0
105,105,,1,1,9
106,106,,1,1,0
107,107,,1,4,0
108,108,,0,1,0
109,109,,0,1,0
110,110,,1,1,0
111,111,,5,2,2
112,112,,0,1,1
113,113,,4,2,0
114,114,,1,1,9
115,115,,0,2,
116,116,,0,1,
117,117,,1,1,0
118,118,,5,2,13
119,119,,0,1,1
120,120,,5,1,0
121,121,,0,1,1
122,122,,1,1,0
123,123,,5,1,8
124,124,,1,1,0
125,125,,1,1,0
126,126,,0,1,10
127,127,,5,1,12
128,128,,0,1,
129,129,,16,2,
130,130,,5,1,11
131,131,,1,1,0
132,132,,0,1,0
133,133,,0,1,1
134,134,,1,1,0
135,135,,0,1,8
136,136,,1,1,0
137,137,,5,2,
138,138,,5,1,0
139,139,,1,1,8
140,140,,0,1,5
141,141,,5,1,0
142,142,,1,1,0
143,143,,0,1,15
144,144,,5,1,12
145,145,,1,1,0
146,146,,1,1,0
147,147,,6,1,
148,148,,0,1,
149,149,,1,2,8
150,150,,5,1,
151,151,,0,1,1
152,152,,5,1,6
153,153,,1,1,0
154,154,,5,1,6
155,155,,0,1,0
156,156,,0,4,5
157,157,,1,1,0
158,158,,1,1,0
159,159,,0,2,1
160,160,,0,1,1
161,161,,1,1,8
162,162,,5,2,2
163,163,,0,1,0
164,164,,0,1,1
165,165,,5,2,13
166,166,,5,1,15
167,167,,1,1,0
168,168,,0,2,5
169,169,,0,1,4
170,170,,0,3,0
171,171,,0,1,1
172,172,,0,2,
173,173,,0,1,5
174,174,,5,3,
175,175,,0,2,5
176,176,,5,1,0
177,177,,5,1,
178,178,,1,1,0
179,179,,1,1,0
180,180,,5,2,0
181,181,,5,1,16
182,182,,5,1,13
183,183,,0,1,1
184,184,,0,1,1
185,185,,1,2,0
186,186,,5,1,8
187,187,,5,1,0
188,188,,0,2,1
189,189,,0,2,1
190,190,,11,3,
191,191,,0,1,0
192,192,,0,2,1
193,193,,0,1,1
194,194,,1,2,0
195,195,,5,2,8
196,196,,0,1,1
197,197,,1,1,0
198,198,,5,1,14
199,199,,0,1,
200,200,,1,1,0
201,201,,5,1,8
202,202,,1,3,1
203,203,,0,1,2
204,204,,1,1,0
205,205,,5,1,8
206,206,,1,1,0
207,207,,0,1,1
208,208,,5,1,8
209,209,,5,2,12
210,210,,5,1,16
211,211,,1,1,8
212,212,,1,1,1
213,213,,0,1,8
214,214,,0,1,1
215,215,,1,1,0
216,216,,0,1,1
217,217,,1,1,0
218,218,,5,1,0
219,219,,5,1,16
220,220,,0,1,1
221,221,,1,2,0
222,222,,5,2,8
223,223,,1,1,0
224,224,,5,1,12
225,225,,1,1,0
