Id,Label,timeset,modularity_class,node_size
0,0,,0,3
1,1,,0,2
9,9,,0,1
12,12,,0,1
13,13,,0,1
16,16,,0,1
18,18,,0,4
21,21,,0,2
22,22,,0,1
36,36,,0,2
50,50,,0,1
56,56,,0,3
71,71,,0,1
76,76,,0,1
89,89,,0,1
93,93,,0,1
94,94,,0,2
95,95,,0,1
96,96,,0,2
97,97,,0,1
99,99,,0,1
100,100,,0,1
103,103,,0,1
104,104,,0,1
105,105,,0,1
106,106,,0,2
108,108,,0,1
112,112,,0,1
114,114,,0,2
115,115,,0,2
118,118,,0,1
126,126,,0,1
131,131,,0,1
133,133,,0,1
134,134,,0,1
138,138,,0,1
141,141,,0,2
142,142,,0,1
148,148,,0,3
150,150,,0,1
154,154,,0,1
155,155,,0,1
158,158,,0,1
159,159,,0,2
168,168,,0,1
174,174,,0,1
177,177,,0,2
187,187,,0,1
193,193,,0,1
197,197,,0,1
199,199,,0,1
206,206,,0,1
217,217,,0,1
222,222,,0,2
226,226,,0,2
233,233,,0,2
237,237,,0,2
246,246,,0,2
248,248,,0,1
249,249,,0,1
253,253,,0,1
255,255,,0,1
257,257,,0,2
260,260,,0,1
265,265,,0,1
267,267,,0,2
285,285,,0,2
287,287,,0,1
292,292,,0,1
297,297,,0,1
298,298,,0,1
316,316,,0,1
327,327,,0,3
332,332,,0,1
346,346,,0,2
347,347,,0,1
357,357,,0,2
359,359,,0,1
368,368,,0,2
383,383,,0,2
388,388,,0,1
389,389,,0,1
398,398,,0,2
404,404,,0,1
428,428,,0,2
429,429,,0,3
439,439,,0,2
442,442,,0,2
455,455,,0,1
466,466,,0,1
468,468,,0,1
471,471,,0,1
501,501,,0,1
504,504,,0,1
511,511,,0,1
533,533,,0,2
548,548,,0,1
553,553,,0,1
31,31,,0,2
494,494,,1,2
2,2,,1,1
3,3,,1,1
4,4,,1,1
5,5,,1,1
6,6,,1,1
7,7,,1,1
8,8,,1,1
10,10,,1,1
11,11,,1,1
14,14,,1,1
15,15,,1,1
17,17,,1,1
19,19,,1,1
24,24,,1,1
28,28,,1,1
32,32,,1,1
34,34,,1,1
37,37,,1,2
38,38,,1,2
41,41,,1,1
43,43,,1,1
45,45,,1,1
46,46,,1,4
48,48,,1,1
51,51,,1,1
53,53,,1,1
54,54,,1,1
57,57,,1,1
59,59,,1,1
62,62,,1,1
65,65,,1,1
68,68,,1,1
70,70,,1,1
73,73,,1,1
74,74,,1,1
75,75,,1,1
77,77,,1,1
82,82,,1,1
84,84,,1,1
85,85,,1,1
86,86,,1,1
90,90,,1,1
92,92,,1,1
98,98,,1,1
109,109,,1,4
110,110,,1,1
111,111,,1,1
117,117,,1,1
120,120,,1,1
124,124,,1,1
125,125,,1,2
128,128,,1,1
130,130,,1,1
135,135,,1,1
143,143,,1,1
145,145,,1,4
153,153,,1,1
156,156,,1,1
162,162,,1,1
166,166,,1,1
171,171,,1,2
172,172,,1,1
175,175,,1,1
176,176,,1,1
179,179,,1,2
180,180,,1,1
184,184,,1,1
185,185,,1,2
188,188,,1,1
189,189,,1,1
190,190,,1,1
192,192,,1,1
203,203,,1,1
205,205,,1,1
211,211,,1,1
214,214,,1,1
215,215,,1,1
216,216,,1,1
221,221,,1,1
224,224,,1,1
232,232,,1,1
238,238,,1,1
244,244,,1,2
245,245,,1,1
247,247,,1,1
251,251,,1,1
261,261,,1,1
270,270,,1,1
272,272,,1,1
275,275,,1,1
276,276,,1,1
279,279,,1,1
281,281,,1,1
283,283,,1,1
284,284,,1,1
289,289,,1,1
294,294,,1,1
296,296,,1,1
302,302,,1,1
303,303,,1,1
304,304,,1,1
315,315,,1,2
