Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
9,9,,0
12,12,,0
13,13,,0
16,16,,0
18,18,,0
21,21,,0
22,22,,0
36,36,,0
50,50,,0
56,56,,0
71,71,,0
76,76,,0
89,89,,0
93,93,,0
94,94,,0
95,95,,0
96,96,,0
97,97,,0
99,99,,0
100,100,,0
103,103,,0
104,104,,0
105,105,,0
106,106,,0
108,108,,0
112,112,,0
114,114,,0
115,115,,0
118,118,,0
126,126,,0
131,131,,0
133,133,,0
134,134,,0
138,138,,0
141,141,,0
142,142,,0
148,148,,0
150,150,,0
154,154,,0
155,155,,0
158,158,,0
159,159,,0
168,168,,0
174,174,,0
177,177,,0
187,187,,0
193,193,,0
197,197,,0
199,199,,0
206,206,,0
217,217,,0
222,222,,0
226,226,,0
233,233,,0
237,237,,0
246,246,,0
248,248,,0
249,249,,0
253,253,,0
255,255,,0
257,257,,0
260,260,,0
265,265,,0
267,267,,0
285,285,,0
287,287,,0
292,292,,0
297,297,,0
298,298,,0
316,316,,0
327,327,,0
332,332,,0
346,346,,0
347,347,,0
357,357,,0
359,359,,0
368,368,,0
383,383,,0
388,388,,0
389,389,,0
398,398,,0
404,404,,0
428,428,,0
429,429,,0
439,439,,0
442,442,,0
455,455,,0
466,466,,0
468,468,,0
471,471,,0
501,501,,0
504,504,,0
511,511,,0
533,533,,0
548,548,,0
553,553,,0
31,31,,0
494,494,,1
2,2,,1
3,3,,1
4,4,,1
5,5,,1
6,6,,1
7,7,,1
8,8,,1
10,10,,1
11,11,,1
14,14,,1
15,15,,1
17,17,,1
19,19,,1
24,24,,1
28,28,,1
32,32,,1
34,34,,1
37,37,,1
38,38,,1
41,41,,1
43,43,,1
45,45,,1
46,46,,1
48,48,,1
51,51,,1
53,53,,1
54,54,,1
57,57,,1
59,59,,1
62,62,,1
65,65,,1
68,68,,1
70,70,,1
73,73,,1
74,74,,1
75,75,,1
77,77,,1
82,82,,1
84,84,,1
85,85,,1
86,86,,1
90,90,,1
92,92,,1
98,98,,1
109,109,,1
110,110,,1
111,111,,1
117,117,,1
120,120,,1
124,124,,1
125,125,,1
128,128,,1
130,130,,1
135,135,,1
143,143,,1
145,145,,1
153,153,,1
156,156,,1
162,162,,1
166,166,,1
171,171,,1
172,172,,1
175,175,,1
176,176,,1
179,179,,1
180,180,,1
184,184,,1
185,185,,1
188,188,,1
189,189,,1
190,190,,1
192,192,,1
203,203,,1
205,205,,1
211,211,,1
214,214,,1
215,215,,1
216,216,,1
221,221,,1
224,224,,1
232,232,,1
238,238,,1
244,244,,1
245,245,,1
247,247,,1
251,251,,1
261,261,,1
270,270,,1
272,272,,1
275,275,,1
276,276,,1
279,279,,1
281,281,,1
283,283,,1
284,284,,1
289,289,,1
294,294,,1
296,296,,1
302,302,,1
303,303,,1
304,304,,1
315,315,,1
317,317,,1
322,322,,1
324,324,,1
339,339,,1
340,340,,1
341,341,,1
355,355,,1
358,358,,1
360,360,,1
367,367,,1
369,369,,1
374,374,,1
377,377,,1
385,385,,1
391,391,,1
395,395,,1
397,397,,1
410,410,,1
414,414,,1
416,416,,1
421,421,,1
422,422,,1
431,431,,1
446,446,,1
456,456,,1
460,460,,1
478,478,,1
487,487,,1
488,488,,1
493,493,,1
496,496,,1
516,516,,1
522,522,,1
549,549,,1
212,212,,1
286,286,,1
306,306,,1
337,337,,1
463,463,,1
555,555,,1
196,196,,0
116,116,,1
372,372,,1
443,443,,1
64,64,,1
26,26,,0
27,27,,0
30,30,,0
39,39,,0
83,83,,0
121,121,,0
129,129,,0
173,173,,0
210,210,,0
314,314,,0
338,338,,0
400,400,,0
402,402,,0
486,486,,0
512,512,,0
524,524,,0
531,531,,0
277,277,,1
336,336,,0
20,20,,6
66,66,,6
23,23,,8
58,58,,8
91,91,,8
161,161,,8
167,167,,8
170,170,,8
301,301,,3
326,326,,8
413,413,,8
427,427,,8
458,458,,8
462,462,,8
474,474,,8
476,476,,3
542,542,,8
25,25,,6
136,136,,6
182,182,,6
370,370,,6
29,29,,3
35,35,,3
67,67,,3
79,79,,3
81,81,,3
132,132,,3
207,207,,3
219,219,,3
239,239,,3
242,242,,3
258,258,,3
262,262,,3
366,366,,3
373,373,,3
386,386,,3
387,387,,3
396,396,,3
412,412,,3
417,417,,3
423,423,,3
434,434,,3
490,490,,3
528,528,,3
558,558,,3
33,33,,7
49,49,,7
102,102,,7
113,113,,7
235,235,,7
243,243,,7
342,342,,7
376,376,,7
437,437,,7
163,163,,3
228,228,,3
438,438,,0
551,551,,3
333,333,,8
288,288,,0
42,42,,8
308,308,,8
352,352,,8
44,44,,8
72,72,,8
418,418,,8
506,506,,8
552,552,,8
47,47,,3
69,69,,3
119,119,,3
380,380,,3
491,491,,3
426,426,,7
433,433,,7
492,492,,7
52,52,,6
157,157,,6
264,264,,6
280,280,,6
310,310,,6
321,321,,6
144,144,,0
259,259,,0
312,312,,0
392,392,,3
408,408,,0
441,441,,0
60,60,,6
213,213,,6
61,61,,2
230,230,,2
500,500,,1
63,63,,0
80,80,,6
139,139,,6
181,181,,6
201,201,,6
250,250,,6
345,345,,6
363,363,,6
405,405,,6
329,329,,3
353,353,,3
415,415,,3
498,498,,3
521,521,,3
545,545,,3
178,178,,3
318,318,,3
309,309,,3
420,420,,3
477,477,,3
480,480,,3
556,556,,3
140,140,,6
165,165,,6
195,195,,6
200,200,,6
223,223,,6
320,320,,6
335,335,,6
379,379,,3
407,407,,3
529,529,,8
87,87,,4
101,101,,4
394,394,,1
231,231,,1
401,401,,8
123,123,,7
291,291,,7
343,343,,7
361,361,,7
447,447,,7
419,419,,0
151,151,,7
311,311,,7
495,495,,8
127,127,,6
323,323,,6
349,349,,6
149,149,,6
191,191,,6
240,240,,6
274,274,,6
325,325,,6
331,331,,6
241,241,,6
256,256,,6
183,183,,0
470,470,,0
519,519,,8
541,541,,8
554,554,,0
390,390,,8
457,457,,8
278,278,,6
344,344,,6
295,295,,6
365,365,,6
356,356,,8
371,371,,8
378,378,,8
399,399,,8
485,485,,8
411,411,,6
453,453,,3
236,236,,5
517,517,,5
254,254,,8
350,350,,8
382,382,,8
432,432,,8
451,451,,8
465,465,,8
469,469,,8
472,472,,8
482,482,,8
483,483,,8
508,508,,8
514,514,,8
520,520,,8
525,525,,8
530,530,,8
532,532,,8
534,534,,8
538,538,,8
543,543,,8
546,546,,8
557,557,,8
263,263,,6
436,436,,1
362,362,,6
282,282,,6
351,351,,6
393,393,,6
406,406,,6
409,409,,6
515,515,,6
300,300,,8
425,425,,8
293,293,,8
381,381,,8
509,509,,1
305,305,,7
467,467,,8
507,507,,8
330,330,,7
448,448,,7
479,479,,8
503,503,,8
539,539,,6
444,444,,8
475,475,,7
364,364,,7
384,384,,7
435,435,,7
484,484,,8
535,535,,7
430,430,,6
526,526,,1
473,473,,6
440,440,,8
540,540,,8
450,450,,8
461,461,,8
454,454,,6
544,544,,6
459,459,,8
499,499,,9
547,547,,9
502,502,,6
537,537,,6
510,510,,10
518,518,,10
