ID,Hugo_Symbol
0,MT-CO1
1,MT-CO2
2,MT-ND1
3,HBB
4,MT-CYB
5,MT-ND3
6,MT-ND2
7,MT-ND6
8,MT-ND5
9,RPL13A
10,FTL
11,RPL39
12,HBA2
13,KLK3
14,RPS11
15,RPL30
16,RPS2
17,RPS8
18,RPL3
19,RPL8
20,ACTB
21,RPL35
22,RPL11
23,RPL41
24,EEF1G
25,RPLP0
26,RPL19
27,GAPDH
28,RPS16
29,RPLP1
30,ACTG1
31,RPL6
32,NPY
33,EEF2
34,RPS6
35,RPS4X
36,RPL9
37,B2M
38,RPL5
39,RPS13
40,RPL17
41,RPS7
42,RPS25
43,RPLP2
44,KLK2
45,RPL29
46,RPL27
47,COL1A1
48,PTMA
49,RPL7
50,RACK1
51,PABPC1
52,CALR
53,SAA1
54,RPL21
55,TMSB4X
56,HSP90AB1
57,RPL26
58,HSPA8
59,RPL18
60,CD74
61,RPL10
62,COX6A1
63,P4HB
64,UBB
65,RPL18A
66,COL1A2
67,HP
68,RPS21
69,RPS15
70,ENO1
71,RPL4
72,PSAP
73,HLA-C
74,COX8A
75,MIF
76,RPL36
77,RPL23A
78,RPL36A
79,HSP90B1
80,TUBA1B
81,OAZ1
82,RPS17
83,PPIA
84,RPS9
85,TPT1
86,PPDPF
87,RPS20
88,ACPP
89,SPON2
90,HSP90AA1
91,RPS5
92,HLA-DRA
93,S100A11
94,MSMB
95,RPS28
96,RPS26
97,ATP5B
98,YBX1
99,HMGN2
100,RPS19
101,FGB
102,RPL38
103,APOE
104,RPS3
105,SLC25A6
106,APOA2
107,CKB
108,H2AFJ
109,TMA7
110,SERPINA1
111,MYL6
112,TMBIM6
113,CALM2
114,UQCRH
115,RPL23
116,PTMS
117,NDRG1
118,RDH11
119,CTSD
120,PRDX2
121,HLA-A
122,EIF4A1
123,CFL1
124,FASN
125,APOC3
126,IGFBP7
127,MT2A
128,NKX3-1
129,EIF3E
130,APOC1
131,SAT1
132,APLP2
133,TUBB4B
134,PFDN5
135,ARF1
136,PEBP1
137,RPS4Y1
138,MARCKSL1
139,YWHAE
140,FOLH1
141,NME2
142,ALDOA
143,TPI1
144,FGG
145,BGN
146,RPL13
147,SOD1
148,SSR2
149,NDUFS5
150,HNRNPA1
151,RPS15A
152,KLK4
153,XBP1
154,SLC25A5
155,CNBP
156,LDHA
157,FAU
158,CST1
159,DCXR
160,HIST1H1C
161,PPIB
162,PKM
163,APOA1
164,RPL36AL
165,UBL5
166,SLC45A3
167,TSPAN1
168,LGALS1
169,ATP5H
170,PRAC1
171,OST4
172,KRT18
173,FTH1
174,DDX5
175,PFN1
176,BSG
177,CD63
178,TMPRSS2
179,LYZ
180,CD81
181,PDIA3
182,CD9
183,NDUFB7
184,AR
185,ACTA2
186,IGLL5
187,KRT19
188,DAD1
189,UBC
190,HSPA5
191,KRTCAP2
192,ARPC3
193,RPL22
194,IFITM3
195,SELENOW
196,GLTSCR2
197,SPINT2
198,IFI6
199,COX5B
200,HIST1H2BK
201,EIF1
202,RPL27A
203,GPX4
204,TIMP1
205,EDF1
206,AZGP1
207,GRINA
208,HSPE1
209,GDF15
210,MDK
211,H1F0
212,EIF5A
213,SYNGR2
214,DBI
215,RPL31
216,EIF4G2
217,COX6B1
218,ANXA2
219,SMS
220,SERF2
221,HBA1
222,STEAP1
223,TMEM141
224,RAB1B
225,EPCAM
226,DEFA3
227,PTGES3
228,MYL12B
229,SSR4
230,SRP14
231,ATP5O
232,LAPTM4A
233,SLC25A39
234,GOLM1
235,PRDX5
236,ERGIC3
237,HINT1
238,ARF4
239,H3F3B
240,NONO
241,RPN2
242,CLIC1
243,TOMM7
244,PCBP2
245,ARF5
246,SPDEF
247,GPX1
248,ATP6V0C
249,APOH
250,GRN
251,AES
252,NCL
253,CD151
254,BRK1
255,PSME1
256,COX7A2
257,RBP4
258,HBD
259,RPL28
260,ARL6IP1
261,PHB2
262,COX4I1
263,C19orf43
264,EIF3I
265,SNRPB
266,ATP5G1
267,ARHGDIA
268,EEF1D
269,CD99
270,EIF4B
271,CYC1
272,CAPNS1
273,ORM2
274,ELOB
275,MYL12A
276,FOXA1
277,PARK7
278,AMBP
279,CTSZ
280,FKBP8
281,MGP
282,RAB7A
283,KDELR2
284,ANP32B
285,IGFBP2
286,PRKCSH
287,PCBD1
288,S100A6
289,KDELR1
290,IDH1
291,SEC61G
292,GANAB
293,NDUFB10
294,SEC61A1
295,HOXB13
296,NDUFA1
297,ATF4
298,MRFAP1
299,PSMB3
300,BCAM
301,GNAS
302,HMGN1
303,CSDE1
304,COPE
305,TALDO1
306,PPA1
307,ATP5C1
308,SNRNP70
309,AMACR
310,MAGED2
311,MAZ
312,SARAF
313,APEX1
314,TPM4
315,C19orf48
316,BCAP31
317,APP
318,OR51E2
319,CALM3
320,PMEPA1
321,CCT7
322,GABARAP
323,UBA52
324,DDOST
325,HDLBP
326,LUM
327,HSPA9
328,MORF4L2
329,RPL14
330,FKBP1A
331,SLC44A4
332,C3
333,NDUFS8
334,CLTA
335,NOP10
336,OS9
337,SNRPD2
338,MYH9
339,ECHS1
340,MPC2
341,ATP6V0E1
342,SET
343,EIF3G
344,TMED2
345,LGALS3BP
346,IFI27
347,JTB
348,NAPA
349,EEF1A2
350,PRDX4
351,PGK1
352,PDLIM5
353,PSMA7
354,ATP5G2
355,CUTA
356,VDAC1
357,PRDX3
358,HNRNPAB
359,CTSB
360,MT1G
361,TUFM
362,VPS28
363,BEX3
364,APRT
365,NDUFA2
366,SLC39A6
367,MTCH1
368,SF3B5
369,NDUFA13
370,DPP7
371,TACSTD2
372,KRT8
373,MAGED1
374,CTNNB1
375,FBL
376,DHRS7
377,MLF2
378,NUCB1
379,HNRNPL
380,COPG1
381,SAA2
382,SERPINF1
383,POLR2L
384,NDUFB9
385,ECH1
386,ADIRF
387,TXNDC5
388,NME4
389,TMED10
390,CDH1
391,A2M
392,TRIM28
393,CTSK
394,RAN
395,DSTN
396,ACADVL
397,DDX17
398,NDUFB4
399,PPP1CA
400,UQCR10
401,AHCY
402,NEFH
403,TSTD1
404,IFI30
405,ILF2
406,YWHAB
407,CIRBP
408,RNASEK
409,EIF2S3
410,MMP9
411,EPHX1
412,HPX
413,DDX39B
414,SF3B6
415,OSTC
416,ERH
417,HDGF
418,ATP6V0B
419,LDHB
420,CAMK2N1
421,CDC37
422,ROMO1
423,PSMA6
424,Sep-02
425,LAMP1
426,CST3
427,PPP1R1B
428,TMEM123
429,ARHGDIB
430,HNRNPH1
431,PSME2
432,SLC39A7
433,CCT8
434,ISG15
435,C1QBP
436,ST13
437,XRCC6
438,PHPT1
439,COL6A2
440,IFITM2
441,ITGB1
442,GDI1
443,HNRNPF
444,TECR
445,FKBP4
446,GPI
447,VCP
448,MT1X
449,ELOVL5
450,VTN
451,CYP2E1
452,SND1
453,BLVRB
454,TRMT112
455,ATP5D
456,EIF4G1
457,TOMM20
458,HSD17B10
459,ARPC1A
460,YBX3
461,SDF4
462,MGST1
463,FABP5
464,CDC42
465,MRPL12
466,NDUFB11
467,EIF3L
468,EIF3K
469,ADIPOR1
470,RHOC
471,MZT2A
472,TSPO
473,HNRNPC
474,BANF1
475,METTL26
476,SRRM2
477,MLEC
478,CENPX
479,SERPING1
480,TM7SF2
481,NEDD8
482,TMEM256
483,AQP3
484,PPP3CA
485,GSTP1
486,APH1A
487,NACA
488,TM9SF2
489,CIB1
490,CANT1
491,HMGB2
492,REXO2
493,CSNK2B
494,PSMA3
495,TSTA3
496,FLOT1
497,ATP6AP1
498,PHB
499,USMG5
500,PRSS8
501,EIF3D
502,COX6C
503,IFITM1
504,COL4A2
505,MYDGF
506,CNPY2
507,IGFBP4
508,COPB2
509,PSMA2
510,RBM3
511,AUP1
512,HMG20B
513,NDUFB1
514,CCT6A
515,HSD17B4
516,GLUD1
517,COX5A
518,C19orf53
519,SPOCK1
520,NDUFV1
521,JUP
522,IDH2
523,ALDOB
524,RHOB
525,PTTG1IP
526,DYNLL1
527,UXT
528,ACLY
529,COL4A1
530,SLPI
531,CORO1B
532,NDUFA12
533,PRPF19
534,C12orf57
535,MT1E
536,RABAC1
537,ZNHIT1
538,HNRNPM
539,GTF3C6
540,COA3
541,TTR
542,ATP5L
543,SELENOF
544,PCNA
545,LCP1
546,DAP
547,TIMM8B
548,EID1
549,PLD3
550,CTNNA1
551,NDUFB8
552,SQSTM1
553,TMEM14C
554,PSMB5
555,UBA1
556,MRPS34
557,SFPQ
558,TKT
559,JUND
560,RBM39
561,HAMP
562,RAMP1
563,LSM7
564,CD59
565,ERP29
566,ACTN4
567,TMX2
568,UQCR11
569,PYCR1
570,NDUFV2
571,PSMB6
572,SRPRA
573,TSPAN8
574,AHSP
575,MORF4L1
576,PTBP1
577,C1QB
578,CERS4
579,RAB5C
580,SUMO2
581,COTL1
582,GSTK1
583,NDUFA7
584,ERGIC1
585,CCT2
586,HADHA
587,GTF3A
588,YWHAG
589,HIST1H2AC
590,PA2G4
591,MRPL3
592,CHMP2A
593,CS
594,RCN1
595,NUMA1
596,GNL3
597,C11orf58
598,HDAC1
599,CDK5RAP3
600,EWSR1
601,CERS2
602,VDAC3
603,S100A12
604,CHMP4B
605,CLU
606,FXYD3
607,CAP1
608,NSMCE1
609,C1R
610,ANXA1
611,CALM1
612,CLDN7
613,STIP1
614,LGMN
615,NME3
616,PFKL
617,COX7B
618,ATP6AP2
619,NDUFAB1
620,PFDN2
621,PSMC3
622,WBP1
623,COL6A1
624,ATP6V1E1
625,APOC2
626,PTPRF
627,POLD2
628,PSMD3
629,PTOV1
630,ATP5A1
631,APMAP
632,DRAP1
633,SRSF1
634,BST2
635,POLR2G
636,RAD23B
637,SLC9A3R1
638,PGRMC1
639,SERPINA3
640,HERPUD1
641,PRRC2A
642,C1QA
643,PPP1R14B
644,SF3B2
645,CCND1
646,MRPS24
647,ACSL3
648,GABARAPL2
649,TM9SF3
650,SRSF9
651,TAGLN
652,S100A4
653,FAM96B
654,TUBA1A
655,VEGFA
656,HADHB
657,SRSF5
658,ZG16B
659,GLUL
660,ACTA1
661,HIGD1A
662,FAM127A
663,HPN
664,SUMO1
665,C1S
666,PGLS
667,SORD
668,CTTN
669,HNRNPH3
670,WBSCR22
671,DAZAP2
672,CLSTN1
673,GOT2
674,TMEM9
675,WBP2
676,EI24
677,PPP4C
678,DNAJB1
679,MAP2K2
680,AAMP
681,TMEM147
682,SEC11A
683,FKBP10
684,TAF15
685,ADRM1
686,ARF3
687,MRPS26
688,PRMT1
689,HOMER2
690,UQCRC2
691,PGD
692,DUS1L
693,DDB1
694,SF1
695,LAPTM5
696,HYOU1
697,AP2S1
698,HN1L
699,ST14
700,CALD1
701,SFN
702,STRAP
703,ANP32A
704,SNRPN
705,TMEM106C
706,SSR3
707,ANXA7
708,PUF60
709,SEC11C
710,FAM210B
711,ARL6IP4
712,BRD2
713,TAF7
714,IGFBP3
715,NPC2
716,HNRNPA3
717,SELENON
718,PFN2
719,RPS19BP1
720,CLTC
721,FAM50A
722,TYROBP
723,PCNP
724,SYPL1
725,MLPH
726,AHSA1
727,MIEN1
728,USP22
729,NUCB2
730,SRSF6
731,U2AF2
732,NOP56
733,CMPK1
734,C20orf24
735,HNRNPUL1
736,SELENOH
737,MAT2A
738,SPINT1
739,SH3BGRL3
740,COPZ1
741,RGS10
742,SLC2A4RG
743,FLNA
744,GMPR
745,SLC25A1
746,CYB561
747,SNU13
748,C6orf62
749,CNN3
750,DHRS3
751,EIF6
752,RNPS1
753,VMP1
754,POLR2K
755,CRIP2
756,USF2
757,DPY30
758,VPS72
759,LGALS3
760,EIF2AK1
761,C1QC
762,VPS25
763,NFIX
764,NUDC
765,GPS1
766,MKNK2
767,TUBA1C
768,ATP5J
769,ABHD11
770,PSMD13
771,UBXN6
772,RPS29
773,LSM4
774,TRIB1
775,LTF
776,RTN4
777,SSRP1
778,MSN
779,SUCLG1
780,RRBP1
781,NUPR1
782,SCARB2
783,NME1
784,TFG
785,ATPIF1
786,MRPL51
787,YIF1A
788,C9orf16
789,POSTN
790,BAG6
791,TRAPPC1
792,CTSH
793,TCEAL9
794,RBMX
795,MGST2
796,PYGB
797,ADAR
798,CAT
799,PNRC2
800,HID1
801,SFTPA2
802,UBE2E1
803,SNRPD3
804,AKT1
805,POMP
806,AGTRAP
807,AEBP1
808,LSR
809,RAB6A
810,DCTN2
811,ESD
812,PABPN1
813,ABHD2
814,JUNB
815,WDR45B
816,GRK2
817,EMD
818,PRR13
819,TMEM259
820,MRPL15
821,FKBP3
822,PSMC5
823,LAMTOR5
824,AKR1A1
825,CTDSP1
826,KHDRBS1
827,CSTB
828,TOB1
829,COPB1
830,PPT1
831,PKN1
832,PQBP1
833,ACP5
834,RAB11B
835,RAB10
836,SARNP
837,PSMD8
838,AP1M2
839,UBE2M
840,SSB
841,CYB5R3
842,EIF4A3
843,CLPTM1
844,RAD23A
845,RAD21
846,HIF1A
847,PET100
848,BTG1
849,OCIAD1
850,POLDIP2
851,SAP18
852,CREG1
853,HMGN3
854,G6PC3
855,TMEM205
856,CAPRIN1
857,GNAI2
858,TCEAL4
859,LTBR
860,LYPLA1
861,DNAJC8
862,PLVAP
863,CLPTM1L
864,CCDC124
865,PLXNB2
866,PSMA1
867,CALU
868,NFE2L1
869,PLOD1
870,RBBP7
871,KLHDC3
872,RNF10
873,SDHA
874,YIPF6
875,PSMC4
876,TIMM17B
877,PABPC4
878,SLC9A3R2
879,CCDC47
880,PAIP2
881,SLC25A3
882,UBXN1
883,HMGB1
884,MRFAP1L1
885,DNPH1
886,NDUFC2
887,NAP1L4
888,CSNK1D
889,UROD
890,SELENOM
891,CD68
892,SLC3A2
893,SUB1
894,TIMP2
895,SSBP1
896,FBP1
897,FAM129B
898,CKAP4
899,REPIN1
900,SRSF7
901,H2AFX
902,ENTPD6
903,CCNG1
904,RANBP1
905,RBX1
906,ATP2A2
907,YWHAH
908,EIF2A
909,SREBF1
910,HSF1
911,SDC4
912,SERBP1
913,OGT
914,TPD52L2
915,RNF187
916,SERINC5
917,CPNE3
918,EIF4EBP1
919,SRSF2
920,SAT2
921,TAX1BP1
922,TMEM179B
923,CTNND1
924,SERPINC1
925,TMEM230
926,PRKAR1A
927,ABHD12
928,ALYREF
929,ATP6V0D1
930,TMEM165
931,STT3B
932,TMEFF2
933,ATN1
934,PRKCD
935,ZNF664
936,BCL2L1
937,SLC1A5
938,ITM2B
939,ENSA
940,IFNGR2
941,SPCS2
942,DDRGK1
943,FIBP
944,JUN
945,FAAH
946,MCRIP2
947,NDUFA6
948,PSMD7
949,SNRPG
950,SUMO3
951,OAZ2
952,WDR34
953,TMEM50A
954,KLK11
955,ARCN1
956,RAB2A
957,KPNB1
958,ATF6B
959,TFF3
960,ARL2
961,PRELID1
962,STT3A
963,MMP7
964,FCGRT
965,MRPL54
966,MYC
967,MRPS18B
968,CTSL
969,LASP1
970,LAS1L
971,PDXDC1
972,TSC22D1
973,UBE2V1
974,SYT7
975,CPNE1
976,KHSRP
977,DDX39A
978,IRAK1
979,C8orf59
980,SLC44A2
981,ASNA1
982,DYNLRB1
983,PLAT
984,RSL24D1
985,VEGFB
986,CDK2AP1
987,GSTO1
988,LAMP2
989,MT4
990,MMP24-AS1
991,TGM2
992,FLOT2
993,MRPL37
994,CTSA
995,ALAS2
996,HIST1H2BD
997,KARS
998,SFT2D1
999,RPP21
1000,ERLEC1
1001,HNRNPH2
1002,CD320
1003,TRA2B
1004,TCEAL8
1005,WSB2
1006,NECTIN2
1007,PLP2
1008,GAA
1009,EMC7
1010,NELFCD
1011,NFKBIA
1012,CCDC167
1013,ZMAT2
1014,TMEM109
1015,FASTK
1016,CCNL2
1017,LARP1
1018,FKBP2
1019,P4HA1
1020,MAPRE1
1021,CREB3L1
1022,FUS
1023,NDUFAF8
1024,HIST3H2A
1025,FBXO7
1026,ARF6
1027,FAM32A
1028,EIF2S2
1029,PPA2
1030,MPG
1031,VSTM2L
1032,ERVK3-1
1033,BNIP3
1034,CDK2AP2
1035,TMC4
1036,HINT2
1037,AHNAK
1038,IFT57
1039,HTRA1
1040,TMEM219
1041,KLK14
1042,DECR1
1043,BABAM1
1044,SDC2
1045,GATA2
1046,RNF167
1047,MAGEH1
1048,SBDS
1049,MYL9
1050,LAMTOR1
1051,NARS
1052,UBE2Z
1053,PRPF8
1054,CTSF
1055,RTN3
1056,EBP
1057,THRAP3
1058,ARFGAP3
1059,AARS
1060,PICALM
1061,VKORC1
1062,RHOT2
1063,UBE2L6
1064,TAF10
1065,NT5C3B
1066,MUCL1
1067,TBX3
1068,ANAPC5
1069,SURF1
1070,SRPRB
1071,PRPF6
1072,HEXB
1073,CASC4
1074,RNASE1
1075,PERP
1076,AP1B1
1077,STAT3
1078,MRPS28
1079,LUC7L2
1080,ENG
1081,PIGT
1082,FH
1083,PTP4A2
1084,EIF3A
1085,GARS
1086,CTSG
1087,TPP1
1088,RABL6
1089,FADS2
1090,SNRPA
1091,PRG2
1092,BAD
1093,RGL2
1094,POR
1095,TSPAN15
1096,ZYX
1097,DDR1
1098,PRR15L
1099,COPS9
1100,ACTN1
1101,ETFA
1102,SZRD1
1103,VPS51
1104,NDRG3
1105,SMARCD2
1106,HNRNPDL
1107,LITAF
1108,GP2
1109,TFDP1
1110,STARD10
1111,C19orf60
1112,ATP5E
1113,KTN1
1114,BTBD2
1115,CLPP
1116,RAC3
1117,SERPINH1
1118,ADI1
1119,PPP2R1A
1120,SEC24C
1121,TMEM254
1122,IFNGR1
1123,SYF2
1124,ESRP1
1125,PGC
1126,SHARPIN
1127,ALDH1A3
1128,MMADHC
1129,MRPS16
1130,HSD17B12
1131,CYCS
1132,DGCR6L
1133,MTCH2
1134,VPS29
1135,FAM89B
1136,MKRN1
1137,DDX3X
1138,SF3B4
1139,PTRF
1140,MRPL49
1141,MT1F
1142,FMOD
1143,DAZAP1
1144,ALKBH5
1145,SAA4
1146,MRPL28
1147,ILK
1148,JAG1
1149,SUN2
1150,HSPA1B
1151,GLRX5
1152,TIMP3
1153,ASAH1
1154,VAT1
1155,A1BG
1156,CETN2
1157,NINJ1
1158,PDZD11
1159,STAU1
1160,SCYL1
1161,SREBF2
1162,HACD3
1163,PSMD6
1164,SPARCL1
1165,CLK1
1166,SERINC3
1167,PIN1
1168,TMEM8A
1169,RNF11
1170,NMRAL1
1171,ILF3
1172,CNDP2
1173,EIF1B
1174,LENG8
1175,CHPF
1176,CDC42SE1
1177,NOSIP
1178,CAPN1
1179,ANXA6
1180,ARRDC1
1181,RAB11A
1182,FARSA
1183,COA4
1184,COL18A1
1185,RTFDC1
1186,TXN2
1187,R3HDM4
1188,NRDC
1189,GIPC1
1190,SHMT2
1191,TOP2B
1192,LRIG1
1193,PNPLA2
1194,GNG10
1195,SELENOP
1196,DHPS
1197,CUEDC2
1198,HCFC1R1
1199,SDHD
1200,CBX1
1201,SEC62
1202,MCM7
1203,RUVBL2
1204,HLA-DQB1
1205,CD276
1206,MRPS35
1207,SCAMP2
1208,ARG2
1209,ADH5
1210,DHCR7
1211,SEPHS2
1212,GNS
1213,CRELD2
1214,PEF1
1215,PNN
1216,FURIN
1217,MRPL9
1218,NUDT8
1219,PIM3
1220,LRRC59
1221,SH3GLB2
1222,SIVA1
1223,MARS
1224,TSR2
1225,TIMM10
1226,CTDNEP1
1227,PREB
1228,C15orf48
1229,CMTM6
1230,POLR2E
1231,ABCC4
1232,NAA20
1233,PMVK
1234,ID1
1235,AP2B1
1236,HLA-DRB5
1237,HPRT1
1238,IGBP1
1239,PIH1D1
1240,SGTA
1241,NIPSNAP1
1242,HACD2
1243,NAA10
1244,ZFP36L1
1245,RAB5B
1246,ACP1
1247,FAM120A
1248,SF3B1
1249,EMC4
1250,PDE9A
1251,TMEM248
1252,DNM2
1253,TOP1
1254,DDX1
1255,COPRS
1256,COX14
1257,PSMB8
1258,RSL1D1
1259,G3BP2
1260,OTUB1
1261,SERINC2
1262,AP3D1
1263,ZMPSTE24
1264,ARL1
1265,PNP
1266,DENR
1267,GDE1
1268,TLN1
1269,POLR2I
1270,ATF5
1271,CWC15
1272,SRSF11
1273,STAP2
1274,ACAA1
1275,TERF2IP
1276,TGFBI
1277,SLC38A2
1278,NUBP2
1279,BSCL2
1280,LINC00493
1281,SCAMP4
1282,FAM127B
1283,MTDH
1284,TBCB
1285,LTA4H
1286,AIP
1287,DERL1
1288,ERBB2
1289,TMEM258
1290,NAA38
1291,SPATA20
1292,PSMD10
1293,TTC1
1294,PAGR1
1295,KIF5B
1296,PYCR2
1297,SF3A2
1298,C7orf50
1299,SH3BGRL
1300,ANAPC16
1301,TK1
1302,SC5D
1303,PITPNA
1304,CDK4
1305,TRAPPC6A
1306,C14orf2
1307,CTDSP2
1308,MAOA
1309,C19orf24
1310,BUD31
1311,ALDH18A1
1312,PRELID3B
1313,SLC25A10
1314,PPP1CC
1315,SCAND1
1316,VASP
1317,EHF
1318,RTCB
1319,TBC1D9B
1320,TPM1
1321,SMCO4
1322,SIL1
1323,UBE2E3
1324,ACTR1A
1325,POP7
1326,UQCC2
1327,CHAD
1328,UBE2L3
1329,PITHD1
1330,DNAJB11
1331,CHPT1
1332,NBL1
1333,CHD4
1334,ACAT1
1335,POLR2J
1336,KIAA1522
1337,AKR7A2
1338,ECHDC2
1339,SPG21
1340,HBM
1341,C16orf58
1342,CHGA
1343,BLCAP
1344,TIMM13
1345,DDT
1346,COMTD1
1347,SPSB3
1348,PRRC2B
1349,MEAF6
1350,NAP1L1
1351,NDUFC1
1352,HN1
1353,UCP2
1354,POLR2H
1355,TGOLN2
1356,MTA1
1357,CNN2
1358,TSR3
1359,MRPL38
1360,MGAT4B
1361,GRB2
1362,HGS
1363,GORASP2
1364,CITED2
1365,LPCAT1
1366,EIF4EBP3
1367,KDM1A
1368,RBCK1
1369,PDLIM1
1370,SMARCB1
1371,SRRM1
1372,SNRNP25
1373,HADH
1374,CRIP1
1375,BZW2
1376,DLST
1377,EXOSC4
1378,GTF3C1
1379,TMEM87A
1380,C19orf70
1381,ATXN2L
1382,CAMKK2
1383,SGSM3
1384,TCEA3
1385,AKAP8L
1386,RNASE3
1387,CDC123
1388,KAT2A
1389,TP53I11
1390,LMAN1
1391,METTL9
1392,TM4SF1
1393,SUPT5H
1394,EIF1AX
1395,ANAPC11
1396,TTLL12
1397,IVD
1398,SLC4A1
1399,GLYR1
1400,PPP2CB
1401,CDK16
1402,SAE1
1403,FAM234A
1404,FUCA1
1405,FAM3B
1406,CDIPT
1407,MRPS6
1408,GRHL2
1409,CASC3
1410,BOLA3
1411,CHCHD10
1412,SUPT4H1
1413,IGSF8
1414,DDX23
1415,NECAB3
1416,ZFAND1
1417,TP53INP1
1418,CORO1A
1419,COX7A2L
1420,SH3GL1
1421,TAX1BP3
1422,DPM1
1423,DNAJB2
1424,ALKBH7
1425,SLC6A8
1426,PPCS
1427,BLVRA
1428,MRPL58
1429,SCCPDH
1430,EAPP
1431,INPPL1
1432,ABHD17A
1433,CNPPD1
1434,GADD45GIP1
1435,VBP1
1436,SPINK1
1437,RNH1
1438,REEP6
1439,DNAJC4
1440,COX20
1441,PRCP
1442,SCPEP1
1443,DDX42
1444,FAM162A
1445,APEH
1446,RBM42
1447,PNRC1
1448,POLD4
1449,TNFRSF14
1450,SYVN1
1451,TMEM59
1452,LAP3
1453,SRP54
1454,COX16
1455,MAN2B1
1456,STK39
1457,MAGT1
1458,RGS5
1459,CYP51A1
1460,CD52
1461,NCBP2
1462,NNMT
1463,HNRNPUL2
1464,TSC22D3
1465,IDH3G
1466,ARHGAP1
1467,NBR1
1468,SELENOK
1469,TRPM4
1470,MRPL16
1471,RPS6KB2
1472,FOS
1473,LSM14A
1474,CSE1L
1475,QTRT1
1476,MPO
1477,TOMM22
1478,ADH1B
1479,CFDP1
1480,PTP4A3
1481,DDX6
1482,TMEM208
1483,PRKACA
1484,SMDT1
1485,WDR83OS
1486,FBXL5
1487,KIF22
1488,RASSF3
1489,C17orf49
1490,COASY
1491,CSNK1E
1492,FLII
1493,PINK1
1494,EIF5B
1495,NRBP1
1496,NDUFA3
1497,H2AFV
1498,DNAJC7
1499,NASP
1500,MAGEF1
1501,NDUFB2
1502,ZFP36
1503,KPNA2
1504,COMMD4
1505,TRAF4
1506,SOX4
1507,IDH3B
1508,IRF9
1509,XPO6
1510,GTF2F1
1511,TUBG1
1512,FUBP1
1513,EXOC7
1514,PSMC6
1515,GSS
1516,NUTF2
1517,TWF1
1518,HIBADH
1519,COPS3
1520,PRNP
1521,OXA1L
1522,TRPC4AP
1523,MCAM
1524,COMMD7
1525,ERI3
1526,KIAA0100
1527,UBE2S
1528,ACO2
1529,CDC34
1530,MTIF3
1531,RAB14
1532,ZFP36L2
1533,MMP14
1534,ACTL6A
1535,BLOC1S1
1536,SLBP
1537,PSMC2
1538,WDR61
1539,SAFB
1540,SLC25A11
1541,NPEPPS
1542,COL6A3
1543,BOD1
1544,CDKN1A
1545,DYNLL2
1546,MFSD1
1547,CYB5A
1548,DYNC1H1
1549,Sep-09
1550,EIF5
1551,HLA-DMB
1552,TMEM176B
1553,PRAC2
1554,USP7
1555,HAT1
1556,VWA1
1557,MFSD3
1558,GGT1
1559,UBE2J1
1560,MMP2
1561,ATG101
1562,STUB1
1563,AGRN
1564,GJB1
1565,MRPL21
1566,MLST8
1567,ARFGAP2
1568,PAF1
1569,BEX4
1570,CDK19
1571,PPP5C
1572,LYPLA2
1573,C8orf33
1574,TARDBP
1575,TM9SF1
1576,RABGGTB
1577,P4HTM
1578,ARAF
1579,LMF2
1580,SUN1
1581,YPEL5
1582,DGCR2
1583,GSTA1
1584,SEC23B
1585,CHP1
1586,NOLC1
1587,BCAS2
1588,MYO1C
1589,HDAC3
1590,SLC35B2
1591,USP5
1592,ANAPC13
1593,SNRPA1
1594,CDV3
1595,GPX3
1596,GOLGA2
1597,PPP1R16A
1598,TEX264
1599,CISD3
1600,UBE2H
1601,MXD4
1602,CIAO1
1603,NR2F6
1604,PSMD1
1605,ARGLU1
1606,CBY1
1607,CYBA
1608,SLC35B1
1609,DDX49
1610,SMG5
1611,XRN2
1612,THBS1
1613,ALOX15B
1614,B4GALT3
1615,PPP2CA
1616,RING1
1617,UFD1L
1618,PIEZO1
