Hugo_Symbol,Rank-133,Rank-34,Rank-13
PPP1R16A,1,2,1
CXXC1,2,1,2
MAGED2,3,3,3
PTS,4,4,13
TMSB4Y,5,5,
UBE2L3,6,7,10
HPS5,7,10,
LRRC66,8,8,4
CDV3,9,31,
ASB8,10,14,
RPL23,11,6,7
ERGIC3,12,16,5
NF1,13,34,
IQCE,14,12,9
GARS,15,11,6
MT-ND1,16,24,
CARD16,17,17,12
GRIK5,18,13,
NCEH1,19,23,
RGL3,20,15,
UBE2Z,21,25,11
RPS15A,22,9,
OR1L1,23,28,
RAP1GAP2,24,22,8
NMUR2,25,33,
FLNA,26,18,
NPTX1,27,20,
USP13,28,21,
COPS2,29,19,
DHRS7B,30,,
TMPRSS6,31,30,
PRTFDC1,32,26,
YY1,33,,
LINC00672,34,27,
MIA3,35,29,
SF3B6,36,32,
ZYG11B,37,,
NUDT8,38,,
TCFL5,39,,
EXT2,40,,
RNF157,41,,
QPCT,42,,
MPP5,43,,
RBM22,44,,
TAF1A,45,,
ARF5,46,,
COX6C,47,,
GAPDHS,48,,
CYHR1,49,,
IFNGR1,50,,
NARF,51,,
OR2D3,52,,
GPR3,53,,
MAGEF1,54,,
KNSTRN,55,,
PRMT9,56,,
C12orf45,57,,
THAP1,58,,
MIPOL1,59,,
AMPD1,60,,
CD63,61,,
NR4A1,62,,
COX5B,63,,
TMC4,64,,
CFL1,65,,
GYS1,66,,
SHISA2,67,,
RPS4Y2,68,,
ZCWPW1,69,,
CLIC1,70,,
PGC,71,,
RPL13A,72,,
NRN1L,73,,
HNF1A,74,,
OR52N5,75,,
ZNF703,76,,
VSTM2L,77,,
BCS1L,78,,
SH3GLB1,79,,
FADS2,80,,
ZNF567,81,,
RPN2,82,,
SMTN,83,,
SLC4A8,84,,
C9orf24,85,,
PES1,86,,
ALG5,87,,
RASGEF1B,88,,
NR2C1,89,,
LMAN1L,90,,
CNN1,91,,
DHPS,92,,
KRTAP5-3,93,,
DUXB,94,,
SLC8A3,95,,
KHDRBS2,96,,
ZNF257,97,,
SCUBE1,98,,
CSTL1,99,,
FER1L5,100,,
TBC1D3B,101,,
GIP,102,,
FRMD7,103,,
FAAH,104,,
XAGE1A,105,,
USP22,106,,
C11orf49,107,,
PREX2,108,,
COLQ,109,,
PCSK7,110,,
ZNF561,111,,
AP3S1,112,,
CLCC1,113,,
PACSIN2,114,,
C14orf159,115,,
IFNGR2,116,,
CLIP1,117,,
COX20,118,,
UHRF1BP1,119,,
MRRF,120,,
MMP12,121,,
UBA1,122,,
KDELC1,123,,
GDPD3,124,,
MAP1A,125,,
ST6GALNAC2,126,,
PRSS53,127,,
PAK4,128,,
CCR7,129,,
B3GLCT,130,,
ZBTB25,131,,
GPR162,132,,
PLS3,133,,
