Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
9,9,,0
12,12,,0
13,13,,0
16,16,,0
18,18,,0
21,21,,0
22,22,,0
36,36,,0
49,49,,0
54,54,,0
68,68,,0
73,73,,0
83,83,,0
87,87,,0
88,88,,0
89,89,,0
90,90,,0
91,91,,0
93,93,,0
94,94,,0
96,96,,0
97,97,,0
98,98,,0
99,99,,0
100,100,,0
104,104,,0
106,106,,0
107,107,,0
110,110,,0
117,117,,0
122,122,,0
124,124,,0
125,125,,0
128,128,,0
131,131,,0
132,132,,0
136,136,,0
138,138,,0
141,141,,0
142,142,,0
145,145,,0
146,146,,0
153,153,,0
158,158,,0
161,161,,0
170,170,,0
176,176,,0
179,179,,0
180,180,,0
185,185,,0
194,194,,0
197,197,,0
200,200,,0
204,204,,0
206,206,,0
215,215,,0
217,217,,0
218,218,,0
221,221,,0
223,223,,0
225,225,,0
228,228,,0
233,233,,0
234,234,,0
248,248,,0
250,250,,0
254,254,,0
259,259,,0
260,260,,0
275,275,,0
285,285,,0
289,289,,0
302,302,,0
303,303,,0
311,311,,0
313,313,,0
322,322,,0
336,336,,0
341,341,,0
342,342,,0
351,351,,0
356,356,,0
379,379,,0
380,380,,0
390,390,,0
393,393,,0
403,403,,0
413,413,,0
415,415,,0
418,418,,0
444,444,,0
447,447,,0
452,452,,0
469,469,,0
482,482,,0
486,486,,0
31,31,,0
439,439,,1
2,2,,1
3,3,,1
4,4,,1
5,5,,1
6,6,,1
7,7,,1
8,8,,1
10,10,,1
11,11,,1
14,14,,1
15,15,,1
17,17,,1
19,19,,1
24,24,,1
28,28,,1
32,32,,1
34,34,,1
37,37,,1
38,38,,1
40,40,,1
42,42,,1
44,44,,1
45,45,,1
47,47,,1
50,50,,1
52,52,,1
53,53,,1
55,55,,1
57,57,,1
59,59,,1
62,62,,1
65,65,,1
67,67,,1
70,70,,1
71,71,,1
72,72,,1
74,74,,1
78,78,,1
80,80,,1
81,81,,1
82,82,,1
84,84,,1
86,86,,1
92,92,,1
101,101,,1
102,102,,1
103,103,,1
109,109,,1
112,112,,1
115,115,,1
116,116,,1
119,119,,1
121,121,,1
126,126,,1
133,133,,1
135,135,,1
140,140,,1
143,143,,1
148,148,,1
151,151,,1
155,155,,1
156,156,,1
159,159,,1
160,160,,1
163,163,,1
164,164,,1
168,168,,1
169,169,,1
171,171,,1
172,172,,1
173,173,,1
175,175,,1
183,183,,1
184,184,,1
188,188,,1
191,191,,1
192,192,,1
193,193,,1
196,196,,1
199,199,,1
203,203,,1
207,207,,1
213,213,,1
214,214,,1
216,216,,1
220,220,,1
229,229,,1
235,235,,1
236,236,,1
238,238,,1
239,239,,1
242,242,,1
244,244,,1
246,246,,1
247,247,,1
252,252,,1
256,256,,1
258,258,,1
263,263,,1
264,264,,1
265,265,,1
274,274,,1
276,276,,1
280,280,,1
282,282,,1
295,295,,1
296,296,,1
297,297,,1
309,309,,1
312,312,,1
314,314,,1
321,321,,1
323,323,,1
328,328,,1
330,330,,1
338,338,,1
344,344,,1
348,348,,1
350,350,,1
362,362,,1
366,366,,1
368,368,,1
373,373,,1
374,374,,1
382,382,,1
396,396,,1
404,404,,1
408,408,,1
425,425,,1
433,433,,1
434,434,,1
438,438,,1
441,441,,1
456,456,,1
460,460,,1
483,483,,1
189,189,,1
249,249,,1
267,267,,1
293,293,,1
411,411,,1
488,488,,1
178,178,,0
108,108,,1
326,326,,1
394,394,,1
61,61,,1
26,26,,0
27,27,,0
30,30,,0
39,39,,0
79,79,,0
113,113,,0
120,120,,0
157,157,,0
187,187,,0
273,273,,0
294,294,,0
353,353,,0
355,355,,0
432,432,,0
453,453,,0
461,461,,0
467,467,,0
240,240,,1
292,292,,0
20,20,,5
63,63,,5
23,23,,2
56,56,,2
85,85,,2
147,147,,2
152,152,,2
154,154,,2
262,262,,3
284,284,,2
365,365,,2
378,378,,2
406,406,,2
410,410,,2
421,421,,2
423,423,,3
477,477,,2
25,25,,5
127,127,,5
166,166,,5
324,324,,5
29,29,,3
35,35,,3
64,64,,3
75,75,,3
77,77,,3
123,123,,3
186,186,,3
195,195,,3
208,208,,3
211,211,,3
226,226,,3
230,230,,3
320,320,,3
327,327,,3
339,339,,3
340,340,,3
349,349,,3
364,364,,3
369,369,,3
375,375,,3
385,385,,3
435,435,,3
464,464,,3
491,491,,3
33,33,,4
48,48,,4
95,95,,4
105,105,,4
205,205,,4
212,212,,4
298,298,,4
329,329,,4
388,388,,4
149,149,,3
201,201,,3
389,389,,0
484,484,,3
290,290,,2
251,251,,0
41,41,,2
268,268,,2
307,307,,2
43,43,,2
69,69,,2
370,370,,2
448,448,,2
485,485,,2
46,46,,3
66,66,,3
111,111,,3
333,333,,3
436,436,,3
377,377,,4
384,384,,4
437,437,,4
51,51,,5
144,144,,5
232,232,,5
243,243,,5
270,270,,5
279,279,,5
134,134,,0
227,227,,0
272,272,,0
345,345,,3
360,360,,0
392,392,,0
58,58,,5
190,190,,5
443,443,,1
60,60,,0
76,76,,5
129,129,,5
165,165,,5
182,182,,5
219,219,,5
301,301,,5
317,317,,5
357,357,,5
286,286,,3
308,308,,3
367,367,,3
442,442,,3
459,459,,3
480,480,,3
162,162,,3
277,277,,3
269,269,,3
372,372,,3
424,424,,3
427,427,,3
489,489,,3
130,130,,5
150,150,,5
177,177,,5
181,181,,5
198,198,,5
278,278,,5
291,291,,5
332,332,,3
359,359,,3
465,465,,2
347,347,,1
202,202,,1
354,354,,2
114,114,,4
253,253,,4
299,299,,4
315,315,,4
397,397,,4
371,371,,0
139,139,,4
271,271,,4
440,440,,2
118,118,,5
281,281,,5
304,304,,5
137,137,,5
174,174,,5
209,209,,5
237,237,,5
283,283,,5
288,288,,5
210,210,,5
224,224,,5
167,167,,0
417,417,,0
457,457,,2
476,476,,2
487,487,,0
343,343,,2
405,405,,2
241,241,,5
300,300,,5
257,257,,5
319,319,,5
310,310,,2
325,325,,2
331,331,,2
352,352,,2
431,431,,2
363,363,,5
401,401,,3
222,222,,2
305,305,,2
335,335,,2
383,383,,2
400,400,,2
412,412,,2
416,416,,2
419,419,,2
428,428,,2
429,429,,2
450,450,,2
454,454,,2
458,458,,2
462,462,,2
466,466,,2
468,468,,2
470,470,,2
473,473,,2
478,478,,2
481,481,,2
490,490,,2
231,231,,5
387,387,,1
316,316,,5
245,245,,5
306,306,,5
346,346,,5
358,358,,5
361,361,,5
455,455,,5
261,261,,2
376,376,,2
255,255,,2
334,334,,2
451,451,,1
266,266,,4
414,414,,2
449,449,,2
287,287,,4
398,398,,4
426,426,,2
446,446,,2
474,474,,5
395,395,,2
422,422,,4
318,318,,4
337,337,,4
386,386,,4
430,430,,2
471,471,,4
381,381,,5
463,463,,1
420,420,,5
391,391,,2
475,475,,2
399,399,,2
409,409,,2
402,402,,5
479,479,,5
407,407,,2
445,445,,5
472,472,,5
