Id,Label,timeset,modularity_class,13_nodes_lable,node_size,LN_class,Bone_class,Liver_class
0,0,,0,,3,0,0,4
1,1,,0,,2,0,0,4
2,2,,1,,1,4,0,0
3,3,,1,,1,0,1,0
4,4,,1,,1,0,0,0
5,5,,1,,1,0,1,0
6,6,,1,,1,1,2,0
7,7,,1,,1,4,3,0
8,8,,1,,1,0,-1,0
9,9,,0,,1,0,0,4
10,10,,1,,1,3,4,0
11,11,,1,,1,0,4,0
12,12,,0,,1,0,0,4
13,13,,0,,1,0,0,4
14,14,,1,,1,0,5,0
15,15,,1,,1,3,4,0
16,16,,0,,1,0,0,4
17,17,,1,,1,0,1,0
18,18,,0,0,4,2,0,6
19,19,,1,,1,0,1,0
20,20,,5,,1,-1,-1,4
21,21,,0,,2,0,0,4
22,22,,0,,1,-1,0,4
23,23,,2,,1,4,6,4
24,24,,1,,1,0,1,0
25,25,,5,,1,8,-1,6
26,26,,0,,3,0,0,0
27,27,,0,,1,0,0,2
28,28,,1,,1,-1,1,0
29,29,,3,,2,4,7,4
30,30,,0,,1,0,0,2
31,31,,0,,2,0,0,4
32,32,,1,,1,0,1,0
33,33,,4,,1,4,9,4
34,34,,1,,1,-1,5,0
35,35,,3,1,4,1,7,6
36,36,,0,,2,0,0,4
37,37,,1,,2,-1,-1,0
38,38,,1,,2,4,4,0
39,39,,0,,1,0,0,2
40,40,,1,,1,0,3,0
41,41,,2,,1,2,5,6
42,42,,1,,1,0,1,0
43,43,,2,,1,4,6,6
44,44,,1,,1,0,1,0
45,45,,1,2,4,0,0,0
46,46,,3,,1,5,2,6
47,47,,1,,1,0,1,0
48,48,,4,,1,2,9,4
49,49,,0,,1,0,0,4
50,50,,1,,1,6,-1,0
51,51,,5,,1,8,8,6
52,52,,1,,1,0,1,0
53,53,,1,,1,-1,1,0
54,54,,0,,3,4,0,4
55,55,,1,,1,0,1,0
56,56,,2,,1,-1,6,-1
57,57,,1,,1,0,1,0
58,58,,5,,1,-1,-1,6
59,59,,1,,1,0,1,0
60,60,,0,,1,4,7,0
61,61,,1,,1,0,1,0
62,62,,1,,1,0,1,0
63,63,,5,,2,8,8,6
64,64,,3,,2,0,7,5
65,65,,1,,1,3,1,0
66,66,,3,,1,5,2,6
67,67,,1,,1,0,1,0
68,68,,0,,1,4,0,4
69,69,,2,,1,4,0,6
70,70,,1,,1,0,5,0
71,71,,1,,1,0,1,0
72,72,,1,,1,0,0,0
73,73,,0,,1,4,0,4
74,74,,1,,1,0,16,0
75,75,,3,,2,4,7,4
76,76,,5,,1,4,0,6
77,77,,3,,3,4,7,6
78,78,,1,,1,0,1,0
79,79,,0,,1,0,0,6
80,80,,1,,1,0,1,0
81,81,,1,,1,0,1,0
82,82,,1,,1,0,1,0
83,83,,0,,1,4,0,4
84,84,,1,,1,0,7,0
85,85,,2,,1,-1,6,6
86,86,,1,,1,4,7,0
87,87,,0,,1,4,0,4
88,88,,0,,2,4,0,4
89,89,,0,,1,0,0,4
90,90,,0,,2,0,0,4
91,91,,0,,1,2,0,6
92,92,,1,,1,7,-1,0
93,93,,0,,1,4,0,4
94,94,,0,,1,0,0,6
95,95,,4,,1,4,9,2
96,96,,0,,1,4,0,4
