Id,Label,timeset,modularity_class,13_nodes_lable,node_size,All_class,LN_class,Liver_class
0,0,,0,,3,0,0,4
1,1,,0,,2,0,0,4
2,2,,0,,1,1,4,0
3,3,,1,,1,1,0,0
4,4,,0,,1,1,0,0
5,5,,1,,1,1,0,0
6,6,,2,,1,1,1,0
7,7,,3,,1,1,4,0
9,9,,0,,1,0,0,4
10,10,,4,,1,1,3,0
11,11,,4,,1,1,0,0
12,12,,0,,1,0,0,4
13,13,,0,,1,0,0,4
14,14,,5,,1,1,0,0
15,15,,4,,1,1,3,0
16,16,,0,,1,0,0,4
17,17,,1,,1,1,0,0
18,18,,0,0,4,0,2,6
19,19,,1,,1,1,0,0
21,21,,0,,2,0,0,4
22,22,,0,,1,0,-1,4
23,23,,6,,1,2,4,4
24,24,,1,,1,1,0,0
26,26,,0,,3,0,0,0
27,27,,0,,1,0,0,2
28,28,,1,,1,1,-1,0
29,29,,7,,2,3,4,4
30,30,,0,,1,0,0,2
31,31,,0,,2,0,0,4
32,32,,1,,1,1,0,0
33,33,,9,,1,4,4,4
34,34,,5,,1,1,-1,0
35,35,,7,1,4,3,1,6
36,36,,0,,2,0,0,4
38,38,,4,,2,1,4,0
39,39,,0,,1,0,0,2
40,40,,3,,1,1,0,0
41,41,,5,,1,2,2,6
42,42,,1,,1,1,0,0
43,43,,6,,1,2,4,6
44,44,,1,,1,1,0,0
45,45,,0,2,4,1,0,0
46,46,,2,,1,3,5,6
47,47,,1,,1,1,0,0
48,48,,9,,1,4,2,4
49,49,,0,,1,0,0,4
51,51,,8,,1,5,8,6
52,52,,1,,1,1,0,0
53,53,,1,,1,1,-1,0
54,54,,0,,3,0,4,4
55,55,,1,,1,1,0,0
56,56,,6,,1,2,-1,-1
57,57,,1,,1,1,0,0
59,59,,1,,1,1,0,0
60,60,,7,,1,0,4,0
61,61,,1,,1,1,0,0
62,62,,1,,1,1,0,0
63,63,,8,,2,5,8,6
64,64,,7,,2,3,0,5
65,65,,1,,1,1,3,0
66,66,,2,,1,3,5,6
67,67,,1,,1,1,0,0
68,68,,0,,1,0,4,4
69,69,,0,,1,2,4,6
70,70,,5,,1,1,0,0
71,71,,1,,1,1,0,0
72,72,,0,,1,1,0,0
73,73,,0,,1,0,4,4
74,74,,16,,1,1,0,0
75,75,,7,,2,3,4,4
76,76,,0,,1,5,4,6
77,77,,7,,3,3,4,6
78,78,,1,,1,1,0,0
79,79,,0,,1,0,0,6
80,80,,1,,1,1,0,0
81,81,,1,,1,1,0,0
82,82,,1,,1,1,0,0
83,83,,0,,1,0,4,4
84,84,,7,,1,1,0,0
85,85,,6,,1,2,-1,6
86,86,,7,,1,1,4,0
87,87,,0,,1,0,4,4
88,88,,0,,2,0,4,4
89,89,,0,,1,0,0,4
90,90,,0,,2,0,0,4
91,91,,0,,1,0,2,6
93,93,,0,,1,0,4,4
94,94,,0,,1,0,0,6
95,95,,9,,1,4,4,2
96,96,,0,,1,0,4,4
97,97,,0,,1,0,4,4
98,98,,0,,1,0,4,4
99,99,,0,,2,0,0,4
100,100,,0,,1,0,0,4
101,101,,0,3,4,1,-1,0
102,102,,1,,1,1,0,0
103,103,,6,,1,1,0,0
104,104,,0,,1,0,4,4
