Id,Label,timeset,modularity_class
0,0,,4
1,1,,4
9,9,,4
12,12,,4
13,13,,4
16,16,,4
21,21,,4
22,22,,4
31,31,,4
36,36,,4
49,49,,4
87,87,,4
88,88,,4
89,89,,4
90,90,,4
93,93,,4
96,96,,4
97,97,,4
99,99,,4
100,100,,4
104,104,,4
106,106,,4
110,110,,4
122,122,,4
124,124,,4
125,125,,4
136,136,,4
142,142,,4
145,145,,4
146,146,,4
153,153,,4
161,161,,4
179,179,,4
194,194,,4
197,197,,4
200,200,,4
204,204,,4
206,206,,4
211,211,,4
217,217,,4
221,221,,4
223,223,,4
225,225,,4
233,233,,4
248,248,,4
260,260,,4
275,275,,4
289,289,,4
313,313,,4
336,336,,4
341,341,,4
342,342,,4
390,390,,4
403,403,,4
413,413,,4
415,415,,4
418,418,,4
452,452,,4
469,469,,4
476,476,,4
481,481,,4
2,2,,0
3,3,,0
4,4,,0
5,5,,0
6,6,,0
7,7,,0
8,8,,0
10,10,,0
11,11,,0
14,14,,0
15,15,,0
17,17,,0
19,19,,0
24,24,,0
26,26,,0
28,28,,0
34,34,,0
37,37,,0
38,38,,0
40,40,,0
42,42,,0
44,44,,0
45,45,,0
47,47,,0
50,50,,0
52,52,,0
53,53,,0
55,55,,0
57,57,,0
59,59,,0
60,60,,0
62,62,,0
65,65,,0
67,67,,0
70,70,,0
71,71,,0
72,72,,0
74,74,,0
78,78,,0
80,80,,0
81,81,,0
82,82,,0
84,84,,0
86,86,,0
92,92,,0
101,101,,0
102,102,,0
103,103,,0
108,108,,0
109,109,,0
112,112,,0
116,116,,0
119,119,,0
121,121,,0
126,126,,0
132,132,,0
133,133,,0
135,135,,0
143,143,,0
148,148,,0
151,151,,0
155,155,,0
156,156,,0
159,159,,0
160,160,,0
163,163,,0
164,164,,0
168,168,,0
169,169,,0
170,170,,0
171,171,,0
173,173,,0
175,175,,0
183,183,,0
184,184,,0
188,188,,0
191,191,,0
192,192,,0
193,193,,0
196,196,,0
199,199,,0
203,203,,0
207,207,,0
213,213,,0
214,214,,0
216,216,,0
220,220,,0
228,228,,0
229,229,,0
234,234,,0
235,235,,0
236,236,,0
238,238,,0
239,239,,0
242,242,,0
244,244,,0
246,246,,0
247,247,,0
252,252,,0
256,256,,0
258,258,,0
263,263,,0
264,264,,0
265,265,,0
267,267,,0
274,274,,0
276,276,,0
280,280,,0
290,290,,0
292,292,,0
294,294,,0
295,295,,0
296,296,,0
297,297,,0
302,302,,0
305,305,,0
309,309,,0
312,312,,0
314,314,,0
321,321,,0
322,322,,0
323,323,,0
325,325,,0
328,328,,0
330,330,,0
338,338,,0
344,344,,0
347,347,,0
350,350,,0
354,354,,0
362,362,,0
363,363,,0
368,368,,0
372,372,,0
373,373,,0
382,382,,0
387,387,,0
396,396,,0
399,399,,0
404,404,,0
405,405,,0
408,408,,0
425,425,,0
433,433,,0
434,434,,0
438,438,,0
439,439,,0
441,441,,0
451,451,,0
457,457,,0
460,460,,0
483,483,,0
30,30,,2
32,32,,0
115,115,,0
249,249,,0
113,113,,3
366,366,,0
172,172,,0
189,189,,0
374,374,,0
465,465,,2
468,468,,0
140,140,,0
282,282,,0
348,348,,0
488,488,,0
376,376,,0
61,61,,0
240,240,,2
293,293,,2
416,416,,2
461,461,,2
473,473,,0
411,411,,0
440,440,,0
18,18,,6
284,284,,6
20,20,,4
63,63,,6
75,75,,4
114,114,,4
139,139,,4
174,174,,6
215,215,,4
219,219,,6
377,377,,4
422,422,,6
54,54,,4
202,202,,4
23,23,,4
68,68,,4
83,83,,4
98,98,,4
107,107,,4
134,134,,4
251,251,,6
259,259,,4
345,345,,4
351,351,,4
353,353,,4
380,380,,6
389,389,,4
392,392,,4
456,456,,0
25,25,,6
51,51,,6
127,127,,6
166,166,,6
27,27,,2
95,95,,2
158,158,,4
227,227,,4
273,273,,2
360,360,,6
454,454,,0
39,39,,2
250,250,,4
266,266,,2
29,29,,4
48,48,,4
73,73,,4
117,117,,4
157,157,,4
185,185,,4
226,226,,4
272,272,,4
298,298,,4
310,310,,4
315,315,,4
329,329,,4
331,331,,4
364,364,,4
388,388,,4
437,437,,4
442,442,,4
490,490,,4
120,120,,6
33,33,,4
35,35,,6
118,118,,6
41,41,,6
268,268,,6
307,307,,6
308,308,,6
334,334,,6
349,349,,6
453,453,,6
487,487,,6
43,43,,6
69,69,,6
85,85,,6
180,180,,6
195,195,,6
218,218,,6
287,287,,6
316,316,,6
326,326,,6
333,333,,6
358,358,,6
365,365,,6
370,370,,6
378,378,,6
383,383,,6
421,421,,6
448,448,,6
485,485,,6
46,46,,6
58,58,,6
66,66,,6
111,111,,6
144,144,,6
224,224,,6
277,277,,6
424,424,,6
436,436,,6
167,167,,4
381,381,,6
76,76,,6
281,281,,6
317,317,,6
254,254,,4
285,285,,4
417,417,,4
435,435,,4
279,279,,6
455,455,,6
231,231,,6
278,278,,6
64,64,,5
311,311,,5
410,410,,5
463,463,,6
428,428,,4
444,444,,4
359,359,,6
253,253,,4
130,130,,6
177,177,,6
181,181,,6
186,186,,6
198,198,,6
209,209,,6
257,257,,6
319,319,,6
356,356,,6
77,77,,6
412,412,,6
427,427,,6
450,450,,6
489,489,,6
491,491,,6
79,79,,6
94,94,,6
123,123,,6
208,208,,6
318,318,,6
337,337,,6
367,367,,6
386,386,,6
394,394,,6
400,400,,6
419,419,,6
430,430,,6
431,431,,6
447,447,,6
486,486,,6
303,303,,4
482,482,,4
91,91,,6
152,152,,6
361,361,,6
369,369,,6
105,105,,4
149,149,,4
371,371,,4
443,443,,4
320,320,,3
131,131,,4
212,212,,4
299,299,,4
210,210,,6
243,243,,6
288,288,,6
137,137,,6
150,150,,6
182,182,,6
237,237,,6
324,324,,6
459,459,,4
138,138,,6
201,201,,6
222,222,,6
230,230,,6
384,384,,6
385,385,,6
391,391,,6
401,401,,6
407,407,,6
414,414,,6
426,426,,6
446,446,,6
464,464,,6
467,467,,6
470,470,,6
475,475,,6
141,141,,6
458,458,,6
154,154,,6
165,165,,6
205,205,,6
327,327,,6
343,343,,6
162,162,,6
283,283,,6
340,340,,6
176,176,,6
301,301,,6
178,178,,4
300,300,,6
304,304,,6
352,352,,4
187,187,,6
395,395,,6
449,449,,6
477,477,,6
478,478,,6
480,480,,6
474,474,,6
479,479,,6
255,255,,6
379,379,,6
423,423,,6
306,306,,6
466,466,,6
471,471,,6
286,286,,6
245,245,,6
462,462,,6
232,232,,6
241,241,,6
429,429,,6
261,261,,6
262,262,,6
420,420,,6
406,406,,6
393,393,,6
346,346,,6
472,472,,6
398,398,,6
397,397,,6
432,432,,1
335,335,,6
339,339,,4
445,445,,6
409,409,,1
