Id,Label,timeset,modularity_class,13_nodes_lable,node_size,All_class,Bone_class,LN_class
0,0,,4,,3,0,0,0
1,1,,4,,2,0,0,0
2,2,,0,,1,1,0,4
3,3,,0,,1,1,1,0
4,4,,0,,1,1,0,0
5,5,,0,,1,1,1,0
6,6,,0,,1,1,2,1
7,7,,0,,1,1,3,4
8,8,,0,,1,1,-1,0
9,9,,4,,1,0,0,0
10,10,,0,,1,1,4,3
11,11,,0,,1,1,4,0
12,12,,4,,1,0,0,0
13,13,,4,,1,0,0,0
14,14,,0,,1,1,5,0
15,15,,0,,1,1,4,3
16,16,,4,,1,0,0,0
17,17,,0,,1,1,1,0
18,18,,6,0,4,0,0,2
19,19,,0,,1,1,1,0
20,20,,4,,1,5,-1,-1
21,21,,4,,2,0,0,0
22,22,,4,,1,0,0,-1
23,23,,4,,1,2,6,4
24,24,,0,,1,1,1,0
25,25,,6,,1,5,-1,8
26,26,,0,,3,0,0,0
27,27,,2,,1,0,0,0
28,28,,0,,1,1,1,-1
29,29,,4,,2,3,7,4
30,30,,2,,1,0,0,0
31,31,,4,,2,0,0,0
32,32,,0,,1,1,1,0
33,33,,4,,1,4,9,4
34,34,,0,,1,1,5,-1
35,35,,6,1,4,3,7,1
36,36,,4,,2,0,0,0
37,37,,0,,2,1,-1,-1
38,38,,0,,2,1,4,4
39,39,,2,,1,0,0,0
40,40,,0,,1,1,3,0
41,41,,6,,1,2,5,2
42,42,,0,,1,1,1,0
43,43,,6,,1,2,6,4
44,44,,0,,1,1,1,0
45,45,,0,2,4,1,0,0
46,46,,6,,1,3,2,5
47,47,,0,,1,1,1,0
48,48,,4,,1,4,9,2
49,49,,4,,1,0,0,0
50,50,,0,,1,1,-1,6
51,51,,6,,1,5,8,8
52,52,,0,,1,1,1,0
53,53,,0,,1,1,1,-1
54,54,,4,,3,0,0,4
55,55,,0,,1,1,1,0
57,57,,0,,1,1,1,0
58,58,,6,,1,5,-1,-1
59,59,,0,,1,1,1,0
60,60,,0,,1,0,7,4
61,61,,0,,1,1,1,0
62,62,,0,,1,1,1,0
63,63,,6,,2,5,8,8
64,64,,5,,2,3,7,0
65,65,,0,,1,1,1,3
66,66,,6,,1,3,2,5
67,67,,0,,1,1,1,0
68,68,,4,,1,0,0,4
69,69,,6,,1,2,0,4
70,70,,0,,1,1,5,0
71,71,,0,,1,1,1,0
72,72,,0,,1,1,0,0
73,73,,4,,1,0,0,4
74,74,,0,,1,1,16,0
75,75,,4,,2,3,7,4
76,76,,6,,1,5,0,4
77,77,,6,,3,3,7,4
78,78,,0,,1,1,1,0
79,79,,6,,1,0,0,0
80,80,,0,,1,1,1,0
81,81,,0,,1,1,1,0
82,82,,0,,1,1,1,0
83,83,,4,,1,0,0,4
84,84,,0,,1,1,7,0
85,85,,6,,1,2,6,-1
86,86,,0,,1,1,7,4
87,87,,4,,1,0,0,4
88,88,,4,,2,0,0,4
89,89,,4,,1,0,0,0
90,90,,4,,2,0,0,0
91,91,,6,,1,0,0,2
92,92,,0,,1,1,-1,7
93,93,,4,,1,0,0,4
94,94,,6,,1,0,0,0
95,95,,2,,1,4,9,4
96,96,,4,,1,0,0,4
97,97,,4,,1,0,0,4
