Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
3,3,,0
9,9,,0
12,12,,0
13,13,,0
14,14,,0
16,16,,0
17,17,,0
19,19,,0
21,21,,0
24,24,,0
26,26,,0
27,27,,0
30,30,,0
31,31,,0
36,36,,0
39,39,,0
40,40,,0
42,42,,0
44,44,,0
45,45,,0
47,47,,0
49,49,,0
52,52,,0
55,55,,0
57,57,,0
59,59,,0
61,61,,0
62,62,,0
64,64,,0
67,67,,0
70,70,,0
71,71,,0
78,78,,0
79,79,,0
81,81,,0
84,84,,0
89,89,,0
90,90,,0
94,94,,0
99,99,,0
100,100,,0
102,102,,0
103,103,,0
110,110,,0
112,112,,0
113,113,,0
115,115,,0
119,119,,0
125,125,,0
133,133,,0
135,135,,0
136,136,,0
141,141,,0
142,142,,0
155,155,,0
156,156,,0
160,160,,0
161,161,,0
163,163,,0
164,164,,0
168,168,,0
171,171,,0
173,173,,0
175,175,,0
176,176,,0
183,183,,0
184,184,,0
187,187,,0
189,189,,0
192,192,,0
193,193,,0
194,194,,0
195,195,,0
196,196,,0
197,197,,0
200,200,,0
202,202,,0
206,206,,0
207,207,,0
208,208,,0
211,211,,0
215,215,,0
216,216,,0
220,220,,0
221,221,,0
222,222,,0
223,223,,0
233,233,,0
234,234,,0
238,238,,0
240,240,,0
244,244,,0
246,246,,0
256,256,,0
261,261,,0
264,264,,0
265,265,,0
273,273,,0
280,280,,0
282,282,,0
294,294,,0
295,295,,0
302,302,,0
305,305,,0
309,309,,0
310,310,,0
311,311,,0
325,325,,0
326,326,,0
331,331,,0
336,336,,0
344,344,,0
352,352,,0
354,354,,0
367,367,,0
368,368,,0
376,376,,0
393,393,,0
396,396,,0
400,400,,0
403,403,,0
404,404,,0
408,408,,0
416,416,,0
419,419,,0
425,425,,0
426,426,,0
429,429,,0
431,431,,0
438,438,,0
440,440,,0
441,441,,0
444,444,,0
449,449,,0
453,453,,0
456,456,,0
457,457,,0
458,458,,0
462,462,,0
465,465,,0
466,466,,0
467,467,,0
468,468,,0
469,469,,0
470,470,,0
473,473,,0
476,476,,0
478,478,,0
482,482,,0
486,486,,0
490,490,,0
491,491,,0
8,8,,0
18,18,,2
32,32,,0
35,35,,1
72,72,,0
74,74,,0
80,80,,0
82,82,,0
88,88,,4
93,93,,4
97,97,,4
109,109,,0
123,123,,4
169,169,,0
178,178,,0
179,179,,4
180,180,,4
188,188,,0
199,199,,0
217,217,,4
229,229,,0
230,230,,0
235,235,,0
247,247,,0
248,248,,4
251,251,,0
263,263,,0
274,274,,0
275,275,,2
286,286,,0
289,289,,4
293,293,,0
297,297,,0
303,303,,0
313,313,,4
320,320,,0
323,323,,0
328,328,,0
335,335,,1
348,348,,0
349,349,,0
351,351,,4
362,362,,0
373,373,,0
380,380,,0
383,383,,4
387,387,,0
395,395,,2
405,405,,0
410,410,,0
411,411,,0
412,412,,0
413,413,,4
414,414,,0
418,418,,4
428,428,,0
433,433,,0
434,434,,0
439,439,,0
446,446,,0
447,447,,4
448,448,,0
450,450,,0
454,454,,0
461,461,,0
475,475,,0
481,481,,0
484,484,,0
485,485,,0
487,487,,0
488,488,,0
2,2,,4
7,7,,4
151,151,,4
159,159,,4
4,4,,0
5,5,,0
11,11,,0
6,6,,1
132,132,,1
252,252,,1
284,284,,1
339,339,,1
394,394,,1
60,60,,4
86,86,,4
104,104,,4
149,149,,4
260,260,,4
353,353,,4
406,406,,4
239,239,,0
459,459,,4
10,10,,3
15,15,,3
121,121,,3
148,148,,3
41,41,,2
154,154,,2
249,249,,2
250,250,,2
266,266,,2
370,370,,2
377,377,,2
382,382,,2
384,384,,2
432,432,,5
443,443,,2
471,471,,2
489,489,,2
23,23,,4
33,33,,4
54,54,,4
107,107,,4
134,134,,4
157,157,,4
227,227,,4
285,285,,4
392,392,,4
25,25,,8
324,324,,8
29,29,,4
38,38,,4
73,73,,4
77,77,,4
87,87,,4
105,105,,4
120,120,,4
153,153,,4
205,205,,4
212,212,,4
226,226,,4
258,258,,4
262,262,,4
269,269,,4
298,298,,4
308,308,,4
345,345,,4
369,369,,4
371,371,,4
388,388,,4
48,48,,2
95,95,,4
332,332,,2
83,83,,4
145,145,,4
172,172,,2
255,255,,2
43,43,,4
378,378,,4
46,46,,5
66,66,,5
111,111,,5
236,236,,5
333,333,,5
436,436,,5
117,117,,4
329,329,,2
340,340,,2
437,437,,2
124,124,,4
259,259,,4
427,427,,4
50,50,,6
464,464,,6
51,51,,8
144,144,,8
243,243,,8
270,270,,8
68,68,,4
146,146,,4
272,272,,4
341,341,,4
389,389,,4
435,435,,4
228,228,,4
63,63,,8
182,182,,8
279,279,,8
65,65,,3
203,203,,5
96,96,,4
98,98,,4
116,116,,4
122,122,,4
185,185,,4
191,191,,4
315,315,,4
365,365,,4
423,423,,4
452,452,,4
69,69,,4
214,214,,2
477,477,,2
75,75,,4
76,76,,4
198,198,,4
317,317,,8
267,267,,2
312,312,,2
399,399,,2
108,108,,4
218,218,,4
342,342,,4
91,91,,2
334,334,,2
347,347,,2
386,386,,2
463,463,,2
92,92,,7
424,424,,7
114,114,,4
131,131,,4
158,158,,4
201,201,,4
299,299,,4
390,390,,4
397,397,,4
398,398,,4
254,254,,4
417,417,,4
204,204,,4
143,143,,4
213,213,,4
364,364,,4
139,139,,4
167,167,,4
442,442,,4
118,118,,8
281,281,,8
304,304,,8
375,375,,4
127,127,,8
150,150,,8
177,177,,8
209,209,,8
288,288,,8
130,130,,9
181,181,,9
137,137,,8
174,174,,8
140,140,,2
242,242,,2
268,268,,2
307,307,,2
337,337,,2
409,409,,2
430,430,,2
321,321,,4
147,147,,4
338,338,,4
322,322,,4
355,355,,2
301,301,,4
287,287,,4
232,232,,8
379,379,,0
241,241,,8
316,316,,8
245,245,,11
306,306,,11
346,346,,11
358,358,,11
361,361,,11
455,455,,11
253,253,,4
283,283,,8
290,290,,1
300,300,,8
422,422,,4
420,420,,11
366,366,,10
415,415,,10
385,385,,0
407,407,,0
474,474,,11
472,472,,11
479,479,,11
