[2020-09-22 09:52:44,118] - [<ipython-input-102-c2b827456f28> line:34] : 0.9983374205248603
[2020-09-22 09:54:53,275] - [<ipython-input-105-e9e0cf2fdbc8> line:17] : max: 0.9983374205248603
[2020-09-22 09:54:53,275] - [<ipython-input-105-e9e0cf2fdbc8> line:17] : max: 0.9983374205248603
[2020-09-22 09:55:30,010] - [<ipython-input-106-4b5b1b5f4ea0> line:17] : min: 0.0004063651757545707
[2020-09-22 09:55:30,010] - [<ipython-input-106-4b5b1b5f4ea0> line:17] : min: 0.0004063651757545707
