Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
ETV1	NA	broad.mit.edu	SC_9027-Tumor	YWHAE-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9027_T	YWHAE-ETV1	Unknown	YES	Unknown	Unknown
ETV5	NA	broad.mit.edu	PRAD-6115598.0-Tumor-SM-B2XS3	TMPRSS2-ETV5	Unknown	YES	Unknown	Unknown
ETV5	NA	broad.mit.edu	SC_9011-Tumor	TMPRSS2-ETV5	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	MO_1054-Tumor	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	MO_1262-Tumor	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PRAD-01115549-Tumor-SM-A4KNH	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PRAD-6115388.0-Tumor-SM-7LGUA	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PROS01448-6115224-Tumor-SM-67ERT	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV4	NA	broad.mit.edu	PROS12319B-SU2C-06115115-Tumor-SM-4W2NA	TMPRSS2-ETV4	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	MO_1511_T	TMPRSS2-ETV1	Unknown	YES	Unknown	Unknown
ETV1	NA	broad.mit.edu	SC_9195_T	TMPRSS2-ETV1	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	DFCI.11-104.13-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1015-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1040-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1071-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1084-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1095-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1114-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1118-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1124-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1161-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1176-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1179-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1192-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1202-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1215-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1241-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1244-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1249-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1263-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1277-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1316-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1337-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1410-Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1446_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1447_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1473_Tumor	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1499_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1510_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1514_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1517_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1543_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	MO_1556_T	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PM161-TM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-01115467-Tumor-SM-6B2KD	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-01115525-Tumor-SM-A4KNC	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-01115556-Tumor-SM-A56E5	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-01115574-Tumor-SM-A56E7	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-01115576-Tumor-SM-A56E8	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-06115124-Tumor-SM-7LGU1	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115391.0-Tumor-SM-7LGUD	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115395.0-Tumor-SM-7LGUH	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115398.0-Tumor-SM-7LGUK	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115400.0-Tumor-SM-7LGUN	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115597.0-Tumor-SM-B2XS5	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115600.0-Tumor-SM-B2XS6	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PRAD-6115601.0-Tumor-SM-B2XS7	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS01448-1115183-Tumor-SM-5SGU3	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS01448-1115244-Tumor-SM-5SGU6	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS01448-6115234-Tumor-SM-67ERX	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS01448-6115247-Tumor-SM-67ES2	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
ERG	NA	broad.mit.edu	PROS10448-1115154-Tumor-SM-5EEBM	TMPRSS2-ERG	Unknown	YES	Unknown	Unknown
